PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
Quinn Cook,PG,11.44,3.41,3.38,24.5,31.0,14
Branden Dawson,PF,12.22,3.53,3.20,28.5,34.5,12
Sam Dekker,SF,10.64,2.96,3.28,25.5,34.5,5
Michael Frazier II,SG,10.66,3.02,3.32,27.0,35.0,10
Treveon Graham,SF,11.64,3.15,3.30,28.5,31.5,11
Jerian Grant,PG,-,-,-,-,-,-
Olivier Hanlan,PG-SG,11.41,3.12,3.25,28.0,34.0,19
Montrezl Harrell,PF,-,-,-,-,-,-
Andrew Harrison,PG,11.20,-,3.34,26.5,33.0,-
Aaron Harrison,SG,-,-,3.27,28.5,34.5,1
Tyler Harvey,SG,10.56,2.93,3.44,26.0,28.5,1
Corey Hawkins,SG-PG,10.81,-,3.51,28.5,34.0,9
Rondae Hollis-Jefferson,SF,10.41,3.19,3.12,32.0,38.0,13
Richaun Holmes,PF,11.24,3.31,3.32,32.5,36.0,15
Jonathan Holmes,PF-SF,10.95,3.12,3.51,25.5,31.0,-
R.J. Hunter,SG,10.87,2.91,3.26,27.5,33.5,1
Vince Hunter,PF,11.19,3.06,3.26,33.5,37.5,13
Dakari Johnson,C,11.76,2.94,3.62,22.5,25.0,4
Stanley Johnson,SF,-,-,-,-,-,-
Tyus Jones,PG,11.84,2.95,3.32,26.5,32.5,2
Frank Kaminsky,C-PF,-,-,-,-,-,-
Kevon Looney,PF,-,-,-,-,-,-
Trey Lyles,PF,-,-,-,-,-,-
Jarell Martin,PF,11.20,2.97,3.27,28.5,35.0,19
TJ McConnell,PG,10.95,3.09,3.30,26.0,31.5,7
Chris McCullough,PF,-,-,-,-,-,-
Jordan Mickey,PF,11.72,3.13,3.28,33.0,37.5,9
Larry Nance,PF,10.93,3.01,3.25,29.0,37.5,10
Kelly Oubre,SF-SG,11.09,3.12,3.32,34.5,37.0,7
Cameron Payne,PG,10.90,2.93,3.28,29.8,35.5,-
Terran Petteway,SG,10.91,3.10,3.32,25.0,31.0,15
Bobby Portis,PF,11.78,3.28,3.56,25.0,31.5,5
Norman Powell,SG,10.69,3.20,3.20,32.5,40.5,5
Michael Qualls,SG-SF,11.88,-,3.18,34.0,39.5,9
Chasson Randle,PG,10.63,2.81,3.20,33.5,39.5,6
Terry Rozier,PG-SG,10.84,2.84,3.15,33.0,38.0,7
D?Angelo Russell,PG-SG,-,-,-,-,-,-
Keifer Sykes,PG,10.47,3.15,3.13,34.0,43.0,8
Marcus Thornton,PG-SG,10.78,2.88,3.02,34.5,43.0,3
J.P. Tokoto,SF-SG,10.97,3.20,3.27,34.5,40.0,12
Myles Turner,C-PF,-,-,-,-,-,-
Robert Upshaw,C,-,-,-,-,-,-
Rashad Vaughn,SG,11.40,3.10,3.21,28.0,34.0,5
Chris Walker,PF,11.25,3.41,3.35,30.5,37.0,6
Dez Wells,SG,10.56,3.05,3.20,31.5,39.0,15
Alan Williams,PF,12.26,3.54,3.50,25.5,28.5,8
Justise Winslow,SF,-,-,-,-,-,-
Christian Wood,PF,-,-,-,-,-,-
Delon Wright,PG,11.16,3.50,3.29,29.5,31.0,4
Jordan Adams,SG,12.13,3.05,3.50,24.5,29.5,-
Kyle Anderson,SF,-,-,-,-,-,-
Thanasis Antetokounmpo,SF,11.39,3.05,3.18,31.5,39.5,-
Jordan Bachynski,PF,12.15,3.03,3.36,29.0,33.0,-
Cameron Bairstow,PF,11.39,3.09,3.37,31.0,33.5,-
Khem Birch,PF,11.60,3.24,3.26,30.5,35.5,-
Alec Brown,PF,12.05,2.91,3.48,27.0,30.0,-
Markel Brown,SG,12.62,2.90,3.18,36.5,43.5,-
Jabari Brown,SG,11.60,3.26,3.50,28.0,32.0,-
Deonte Burton,PG,11.28,3.08,3.28,29.0,39.5,-
Semaj Christon,PG,11.55,3.21,3.32,30.5,36.5,-
Jordan Clarkson,PG,10.76,2.98,3.28,33.0,38.5,-
Aaron Craft,PG,10.78,2.90,3.26,29.0,32.0,-
DeAndre Daniels,SF,11.46,3.04,3.44,26.5,32.0,-
Spencer Dinwiddie,PG,-,-,-,-,-,-
Cleanthony Early,SF,11.15,2.96,3.18,34.0,40.0,-
Melvin Ejim,SF,11.55,3.12,3.14,29.5,35.0,-
Tyler Ennis,PG,11.12,2.84,3.30,29.0,36.0,-
Dante Exum,SG,10.75,2.88,3.19,31.5,34.5,-
C.J. Fair,SF,11.00,3.06,3.32,27.0,35.0,-
Aaron Gordon,PF,10.81,2.76,3.27,32.5,39.0,-
Jerami Grant,SF,-,-,-,-,-,-
P.J. Hairston,SG,11.12,-,3.32,32.0,37.0,-
Gary Harris,SG,-,-,-,-,-,-
Joe Harris,SG,11.11,2.92,3.31,28.5,33.5,-
Rodney Hood,SF,11.21,3.14,3.38,29.0,36.0,-
Cory Jefferson,PF,12.63,3.39,3.36,33.0,37.5,-
Nick Johnson,SG,10.80,2.95,3.27,33.5,41.5,-
Sean Kilpatrick,SG,-,-,-,-,-,-
Alex Kirk,PF,11.20,3.19,3.48,28.5,31.5,-
Zach LaVine,PG,10.42,2.80,3.19,33.5,41.5,-
Devyn Marble,SG,11.32,3.08,3.28,29.0,35.0,-
James McAdoo,PF,11.61,2.91,3.28,29.5,34.0,-
K.J. McDaniels,SF,12.71,3.20,3.10,33.0,37.0,-
Doug McDermott,SF,11.10,3.15,3.29,28.5,36.5,-
Jordan McRae,SG,11.07,3.15,3.39,27.5,34.5,-
Shabazz Napier,PG,11.60,3.13,3.20,30.5,37.5,-
Johnny O?Bryant III,PF,11.57,3.32,3.45,31.0,35.5,-
Lamar Patterson,SG,11.63,3.13,3.45,27.5,32.5,-
Adreian Payne,PF,-,-,-,-,-,-
Elfrid Payton,PG,11.06,2.92,3.23,31.5,35.5,-
Dwight Powell,PF,11.28,2.88,3.20,28.5,35.0,-
Julius Randle,PF,11.45,3.14,3.27,29.0,35.5,-
Glenn Robinson III,SF,11.22,3.04,3.15,36.5,41.5,-
LaQuinton Ross,SF,11.97,3.52,3.44,25.0,31.0,-
Marcus Smart,PG,10.82,2.96,3.26,33.0,36.0,-
Russ Smith,PG,11.57,3.01,3.27,29.5,34.0,-
Nik Stauskas,SG,10.79,2.92,3.27,29.0,35.5,-
Jarnell Stokes,PF,11.92,3.20,3.26,31.0,36.0,-
Xavier Thames,PG,11.48,3.02,3.48,29.0,32.5,-
Noah Vonleh,PF,11.45,3.29,3.28,31.0,37.0,-
T.J. Warren,SF,11.10,3.04,3.26,27.0,35.5,-
C.J. Wilcox,SG,11.30,2.92,3.22,31.0,37.5,-
Kendall Williams,PG,10.83,2.85,-,27.0,33.0,-
Patric Young,PF,11.18,3.06,3.43,32.0,37.5,-
James Young,SG,-,-,-,28.0,35.5,-
Steven Adams,C,11.85,3.02,3.40,28.5,33.0,16
Vander Blue,SG,10.40,2.70,3.14,28.0,37.5,4
Lorenzo Brown,PG,11.78,3.24,3.40,28.0,34.0,8
Reggie Bullock,SG-SF,11.33,3.30,3.31,31.0,36.5,11
Trey Burke,PG,11.20,3.01,3.16,29.5,36.5,3
Kentavious Caldwell-Pope,SG,10.60,3.20,3.12,29.0,34.5,7
Isaiah Canaan,PG,10.98,2.89,3.22,33.0,40.5,16
Jackie Carmichael,PF,11.83,3.07,3.35,30.0,32.0,13
Michael Carter-Williams,PG,10.68,3.70,3.22,31.5,41.0,8
Will Clyburn,SF-SG,11.68,3.12,3.38,28.0,34.5,3
Robert Covington,SF-PF,11.69,3.10,3.34,29.5,36.0,9
Allen Crabbe,SG,10.67,3.10,3.32,30.5,36.0,10
Seth Curry,SG,-,-,-,-,-,-
Brandon Davies,PF,11.22,3.14,3.50,26.0,31.5,7
Dewayne Dedmon,C,12.75,3.26,3.40,28.0,32.5,8
Gorgui Dieng,C,-,-,-,-,-,-
James Ennis,SF,11.55,3.06,3.40,29.5,36.5,7
Carrick Felix,SF-SG,11.16,3.09,3.25,32.0,38.5,15
Jamaal Franklin,SG-SF,-,-,-,-,-,-
Rudy Gobert,C,12.85,3.19,3.57,25.0,29.0,7
Archie Goodwin,SG,10.75,3.41,3.27,30.0,36.0,1
Erick Green,PG,-,-,-,-,-,5
Tim Hardaway Jr.,SG,10.68,2.93,3.25,31.5,37.5,16
Solomon Hill,SF,10.77,2.91,3.19,29.5,37.5,14
Richard Howell,PF,-,-,-,-,-,-
Colton Iverson,C,11.52,3.04,3.52,26.5,30.0,12
Pierre Jackson,PG,-,-,-,-,-,-
Grant Jerrett,PF,11.85,3.23,3.51,28.5,34.0,2
Myck Kabongo,PG,10.64,2.86,3.44,27.5,33.5,2
Kenny Kadji,PF-C,11.47,2.88,3.44,34.0,38.0,9
Ryan Kelly,PF,-,-,-,-,-,-
Shane Larkin,PG,10.64,3.03,3.08,34.5,44.0,12
Ricky Ledo,SG,10.72,3.16,3.32,27.0,33.5,4
Alex Len,C,-,-,-,-,-,-
CJ Leslie,PF-SF,10.19,2.79,3.10,32.5,40.5,-
Trevor Mbakwe,PF,12.01,2.97,3.32,30.0,36.5,21
Ray McCallum,PG,10.82,3.08,3.25,30.5,40.0,5
CJ McCollum,PG-SG,11.02,2.91,3.32,32.0,38.5,13
Ben McLemore,SG,11.87,3.11,3.27,32.5,42.0,6
Tony Mitchell,PF-SF,11.82,3.25,3.52,33.5,38.0,13
Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37.0,10
Erik Murphy,PF,12.19,2.96,3.57,24.5,29.5,13
Mike Muscala,C-PF,11.76,2.99,3.44,28.0,33.5,5
Nerlens Noel,C,-,-,-,-,-,-
Victor Oladipo,SG,10.69,3.14,3.25,33.0,42.0,15
Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5,5
Brandon Paul,SG,11.16,2.90,3.37,33.5,39.5,15
Norvel Pelle,PF-C,11.49,3.20,3.32,31.0,34.5,-
Mason Plumlee,C-PF,10.89,2.76,3.29,30.5,36.0,14
Otto Porter,SF,11.25,3.06,3.40,27.0,36.0,9
Phil Pressey,PG,10.86,3.02,3.13,33.0,38.5,7
Glen Rice,SF-SG,10.99,3.08,3.25,33.0,40.5,10
Andre Roberson,PF-SF,11.36,3.02,3.34,30.0,36.5,10
Dennis Schroder,PG,11.09,2.86,3.21,30.0,34.0,1
Peyton Siva,PG,10.59,2.93,3.16,33.5,41.5,15
Tony Snell,SF-SG,11.36,2.84,3.25,30.0,36.5,7
James Southerland,SF-PF,10.90,3.03,3.38,29.0,32.0,5
Adonis Thomas,SF,11.64,3.11,3.32,34.5,40.5,13
Deshaun Thomas,SF,12.94,3.38,3.53,28.5,32.0,5
Jeff Withey,C,12.49,3.29,3.47,26.5,29.0,10
Nate Wolters,PG,-,-,-,-,-,8
BJ Young,SG-PG,-,-,-,-,-,-
Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5,17
Quincy Acy,PF,10.48,-,3.28,32.0,37.0,13
Harrison Barnes,SF-SG,10.93,-,3.16,38.0,39.5,15
Will Barton,SG-SF,12.50,-,3.60,30.0,34.0,-
Bradley Beal,SG,10.95,-,3.28,33.0,39.0,8
J'Covan Brown,PG,11.68,-,3.47,26.0,29.5,3
William Buford,SG-SF,11.40,-,3.43,27.5,32.5,8
Jae Crowder,SF,11.45,-,3.37,31.0,34.5,20
Jared Cunningham,SG-PG,-,-,-,-,-,4
Anthony Davis,PF-C,-,-,-,-,-,-
Marcus Denmon,SG,10.82,-,3.19,33.5,40.0,8
Andre Drummond,C,10.83,-,3.39,31.5,33.5,10
Kim English,SG,10.59,-,3.33,29.0,36.5,-
Festus Ezeli,C-PF,12.35,-,3.29,34.0,33.5,18
Drew Gordon,PF,11.35,-,3.49,29.0,34.0,10
JaMychal Green,PF,10.63,-,3.38,29.5,32.5,19
Draymond Green,PF-SF,11.01,-,3.40,28.0,33.0,9
Maurice Harkless,SF,10.87,-,3.25,32.5,37.0,5
John Henson,PF,-,-,-,25.5,30.0,5
Tu Holloway,PG,11.00,-,3.42,28.0,35.0,12
Robbie Hummel,SF,11.56,-,3.41,27.5,30.0,13
Bernard James,PF,11.84,-,3.40,30.0,32.5,6
John Jenkins,SG,11.36,-,3.37,30.5,36.5,10
Orlando Johnson,SG,10.98,-,3.25,32.0,39.5,13
Darius Johnson-Odom,SG,10.76,-,3.21,33.5,41.5,17
Terrence Jones,PF-SF,11.57,-,3.40,29.5,34.5,12
Kevin Jones,PF,11.94,-,3.60,27.5,32.5,17
Perry Jones,PF-SF,11.31,-,3.19,33.0,38.5,11
Kris Joseph,SG,-,-,3.46,28.5,35.0,6
Michael Kidd-Gilchrist,SF,11.77,-,3.18,32.0,35.5,6
Doron Lamb,SG-PG,11.12,-,3.41,29.0,33.5,2
Jeremy Lamb,SG,10.98,-,3.25,31.5,38.0,5
Meyers Leonard,C,11.34,-,3.41,30.0,32.5,19
Damian Lillard,PG,11.15,-,3.34,34.5,39.5,13
Scott Machado,PG,11.26,-,3.30,27.0,32.5,17
Kendall Marshall,PG,12.03,-,3.23,31.0,37.0,-
Fab Melo,C,12.14,-,3.44,29.5,31.0,9
Khris Middleton,SF,11.45,-,3.47,28.0,31.0,4
Darius Miller,SF-SG,11.34,-,3.31,33.0,37.0,14
Quincy Miller,SF,11.05,-,3.48,30.5,36.0,8
Tony Mitchell,SG,11.72,-,3.47,31.5,40.0,14
Arnett Moultrie,PF,11.32,-,3.22,33.5,37.5,10
Kevin Murphy,SG,10.97,-,3.42,31.0,36.5,11
Andrew Nicholson,PF,11.89,-,3.67,28.5,30.5,10
Kyle O'Quinn,PF,11.65,-,3.53,31.5,31.5,-
Miles Plumlee,PF-C,10.64,-,3.36,34.0,40.5,15
Austin Rivers,SG-PG,11.54,-,3.32,32.5,37.5,1
Thomas Robinson,PF,11.96,-,3.17,28.5,35.5,15
Terrence Ross,SG-SF,11.78,-,3.28,31.0,37.5,2
Tomas Satoransky,PG-SG,-,-,-,-,-,-
Mike Scott,PF,11.59,-,3.44,27.0,32.5,14
Henry Sims,C-PF,12.33,-,3.44,26.5,29.5,7
Jared Sullinger,PF,12.77,-,3.81,29.5,31.0,9
Tyshawn Taylor,PG,11.48,-,3.20,32.0,36.5,-
Jordan Taylor,PG,10.57,-,3.19,33.0,36.5,14
Jeff Taylor,SF-SG,10.87,-,3.29,33.5,40.0,15
Marquis Teague,PG,10.65,-,3.19,32.5,40.5,8
Hollis Thompson,SF,11.72,-,3.38,28.5,36.5,6
Dion Waiters,SG,-,-,-,-,-,-
Royce White,PF,-,-,-,-,-,-
Tony Wroten,PG,10.75,-,3.24,30.0,35.5,-
Tyler Zeller,PF-C,11.13,-,3.40,30.0,34.0,16
Keith Benson,C-PF,11.88,-,3.35,31.5,36.0,12
Marshon Brooks,SG,10.74,-,3.09,34.0,38.5,5
Alec Burks,SG,10.96,-,3.17,29.0,36.0,5
Jimmy Butler,SF,11.12,-,3.15,32.0,39.0,14
Norris Cole,PG,10.07,-,3.22,29.5,38.5,11
Jon Diebler,SG,10.94,-,3.37,28.0,35.0,2
Michael Dunigan,PF-C,11.85,-,3.27,29.5,34.5,10
LaceDarius Dunn,SG,11.45,-,3.27,26.5,31.0,3
Kenneth Faried,PF,11.35,-,3.26,30.5,35.0,16
James Fredette,PG,10.42,-,3.21,28.0,33.0,14
Andrew Goudelock,PG,10.33,-,3.10,32.5,37.0,4
Jordan Hamilton,SF,11.47,-,3.30,25.0,32.0,7
Justin Harper,PF-SF,11.92,-,3.30,28.5,33.0,19
Tobias Harris,SF-PF,10.96,-,3.17,31.5,37.5,12
Tyler Honeycutt,SF,11.68,-,3.07,30.0,37.0,-
Scotty Hopson,SG,10.47,-,3.18,32.5,36.0,10
Kyrie Irving,PG,-,-,-,-,-,-
Rick Jackson,PF,11.51,-,3.26,28.5,33.0,9
Charles Jenkins,PG-SG,11.68,-,3.18,29.5,34.0,16
JaJuan Johnson,PF,11.21,-,3.14,33.5,38.0,15
Cory Joseph,PG,10.75,-,3.27,27.5,35.0,5
Enes Kanter,PF-C,11.30,-,3.26,26.0,32.5,14
Brandon Knight,PG,10.74,-,3.07,29.0,37.5,10
Malcolm Lee,SG,11.20,-,3.09,30.0,35.5,17
Kawhi Leonard,SF,11.45,-,3.15,25.5,32.0,3
Travis Leslie,SG,11.00,-,3.13,33.0,40.5,10
Jon Leuer,PF,10.82,-,3.36,29.5,36.5,14
DeAndre Liggins,SF-SG,-,-,3.33,27.0,31.0,6
David Lighty,SG,10.81,-,3.25,28.5,33.0,15
Shelvin Mack,PG,11.23,-,3.18,32.0,39.0,17
Demetri McCamey,PG,11.55,-,3.19,27.0,33.0,-
E'Twaun Moore,SG,11.12,-,3.31,32.0,34.5,-
Marcus Morris,PF-SF,-,-,3.15,29.0,33.0,11
Markieff Morris,PF,-,-,3.40,27.0,31.5,11
Darius Morris,PG-SG,11.00,-,3.20,24.5,32.0,12
Chandler Parsons,SF,11.05,-,3.29,25.5,31.5,4
Jereme Richmond,SF,11.74,-,3.02,27.0,33.5,-
Josh Selby,SG-PG,11.13,-,3.20,29.5,42.0,5
Iman Shumpert,PG-SG,11.10,-,3.18,36.5,42.0,18
Kyle Singler,SF,11.22,-,3.21,23.0,30.0,10
Chris Singleton,SF,11.33,-,3.09,30.5,37.5,15
Jamie Skeen,PF,12.43,-,3.46,26.0,30.5,10
Nolan Smith,PG,11.05,-,3.17,28.5,34.0,9
Gregory Smith,PF-C,12.43,-,3.36,29.5,36.0,17
Malcolm Thomas,PF,11.31,-,3.29,32.0,36.5,3
Isaiah Thomas,PG,10.49,-,3.14,31.5,40.0,13
Trey Thompkins,PF,11.72,-,3.41,27.5,30.5,15
Tristan Thompson,PF,10.92,-,3.26,30.0,35.0,9
Klay Thompson,SG,10.99,-,3.24,26.5,31.5,5
Jeremy Tyler,PF-C,11.26,-,3.29,28.0,33.5,10
Nikola Vucevic,PF-C,12.02,-,3.27,23.5,25.0,8
Kemba Walker,PG,10.87,-,3.16,32.0,39.5,7
Jordan Williams,PF,12.74,-,3.45,25.0,30.5,10
Derrick Williams,PF-SF,11.03,-,3.23,29.0,34.5,19
Solomon Alabi,C,13.20,-,3.68,22.5,26.0,10
Cole Aldrich,C,11.48,-,3.35,23.0,28.0,10
Al-Farouq Aminu,SF,11.29,-,3.30,27.0,33.5,13
James Anderson,SF,11.86,-,3.19,30.0,35.5,14
Luke Babbitt,SF-PF,10.98,-,3.40,29.5,37.5,15
Eric Bledsoe,PG,-,-,-,-,-,9
Trevor Booker,PF,11.15,-,3.10,31.0,36.0,22
Craig Brackins,PF-SF,11.65,-,3.39,26.0,35.0,6
Avery Bradley,SG-PG,11.47,-,3.14,31.5,37.5,2
Derrick Caracter,PF,12.78,-,3.61,25.0,30.5,22
Sherron Collins,PG,12.31,-,3.24,27.5,33.0,-
DeMarcus Cousins,C,11.40,-,3.55,23.5,27.5,-
Jordan Crawford,SG,11.03,-,3.37,31.5,34.5,7
Ed Davis,PF,11.70,-,3.21,31.0,36.0,-
Devin Ebanks,SF,11.69,-,3.44,23.5,32.0,6
Derrick Favors,PF,11.74,-,3.25,31.5,35.5,14
Keith Gallon,PF-C,13.44,-,3.70,23.5,28.5,14
Charles Garcia,SF,11.65,-,3.23,24.5,30.5,2
Paul George,SF,-,-,-,-,-,4
Luke Harangody,PF,11.83,-,3.41,24.0,28.5,23
Manny Harris,SG,-,-,-,-,-,11
Lazar Hayward,SG-SF,10.87,-,3.31,31.0,36.0,15
Gordon Hayward,SF,11.73,-,3.22,30.5,34.5,10
Xavier Henry,SG,11.10,-,3.18,28.5,36.5,8
Darington Hobson,SG-SF,11.68,-,3.25,29.0,34.0,-
Damion James,SF,10.89,-,3.20,29.0,33.0,13
Wesley Johnson,SF,11.43,-,3.14,32.0,37.0,16
Armon Johnson,PG-SG,11.25,-,3.19,31.5,38.5,18
Dominique Jones,SG,10.88,-,3.31,26.0,32.5,19
Jerome Jordan,C,-,-,-,-,-,-
Sylven Landesberg,SG,11.59,-,3.36,28.0,32.0,8
Gani Lawal,PF,11.61,-,3.24,27.0,31.5,20
Greg Monroe,PF-C,12.10,-,3.35,25.0,29.0,15
Daniel Orton,C,12.32,-,3.39,24.0,30.5,13
Artsiom Parakhouski,C,12.07,-,3.33,25.5,26.5,16
Patrick Patterson,PF,11.14,-,3.25,28.5,33.5,17
Dexter Pittman,PF-C,-,-,-,-,-,-
Andy Rautins,SG,11.27,-,3.49,23.5,30.5,8
Ryan Richards,PF,11.33,-,3.37,25.0,28.5,4
Stanley Robinson,SF,11.65,-,3.23,-,37.5,6
Larry Sanders,PF-C,12.49,-,3.27,25.5,28.0,7
Jon Scheyer,PG-SG,-,-,-,-,-,-
Lance Stephenson,SG,11.39,-,3.38,27.0,33.0,10
Mikhail Torrance,PG,11.43,-,3.17,23.0,32.0,8
Evan Turner,SG,11.06,-,3.27,27.5,34.5,9
Ekpe Udoh,PF,11.15,-,3.29,31.0,33.5,10
Jarvis Varnado,PF-C,11.61,-,3.37,29.5,32.5,3
Greivis Vasquez,PG-SG,-,-,-,-,-,-
John Wall,PG,10.84,-,3.14,30.0,39.0,-
Willie Warren,SG-PG,11.21,-,3.50,23.0,31.5,10
Terrico White,SG-PG,11.38,-,3.15,31.0,40.0,10
Hassan Whiteside,C-PF,11.83,-,3.54,27.0,31.5,12
Jeff Adrien,PF,11.34,-,3.32,27.5,31.5,16
Jeff Ayres,PF,11.98,-,3.14,31.0,35.0,15
Rodrigue Beaubois,PG,10.49,-,3.15,29.5,39.0,3
DeJuan Blair,PF,11.50,-,3.45,26.0,33.0,18
Derrick Brown,SF-PF,11.26,-,3.13,30.5,35.5,20
Chase Budinger,SF-SG,11.08,-,3.24,29.5,38.5,10
DeMarre Carroll,PF-SF,-,-,-,-,-,-
Omri Casspi,SF,11.15,-,3.28,25.5,32.5,2
Dionte Christmas,SG,10.83,-,3.21,27.0,33.5,3
Earl Clark,SF-PF,11.17,-,3.35,28.5,33.0,5
Darren Collison,PG,10.45,-,3.10,30.5,33.5,9
Dante Cunningham,PF,11.18,-,3.26,28.0,35.0,18
Stephen Curry,PG-SG,11.07,-,3.28,29.5,35.5,10
Austin Daye,SF-PF,12.11,-,3.55,25.0,28.0,-
DeMar DeRozan,SG-SF,11.88,-,3.31,29.0,38.5,5
Toney Douglas,PG,10.63,-,3.03,28.0,32.5,15
Wayne Ellington,SG,11.14,-,3.20,31.5,38.0,13
Tyreke Evans,PG-SG,11.81,-,3.17,28.5,34.0,7
Jonny Flynn,PG,10.86,-,3.23,33.0,40.0,10
Taj Gibson,PF,11.56,-,3.41,25.5,30.0,12
Danny Green,SG-SF,11.30,-,3.30,29.0,33.0,15
Blake Griffin,PF,10.95,-,3.28,32.0,35.5,22
Tyler Hansbrough,PF,11.12,-,3.27,27.5,34.0,18
James Harden,SG,11.10,-,3.13,31.5,37.0,17
Gerald Henderson,SG-SF,11.17,-,3.14,31.5,35.0,8
Josh Heytvelt,PF-C,11.67,-,3.38,28.5,34.0,15
Jordan Hill,PF-C,12.23,-,3.30,31.0,35.0,11
Jrue Holiday,PG-SG,10.64,-,3.21,28.5,34.0,6
Joe Ingles,SF,10.66,-,3.30,26.0,31.0,3
James Johnson,SF-PF,11.21,-,3.23,30.5,35.0,18
Ty Lawson,PG,10.98,-,3.12,29.0,36.5,14
Eric Maynor,PG,10.78,-,3.19,28.5,31.5,8
Jack McClinton,SG-PG,10.44,-,3.21,30.0,36.5,13
Jerel McNeal,SG,10.61,-,3.25,31.5,36.5,10
Jodie Meeks,SG,10.96,-,3.10,28.5,37.0,14
Patty Mills,PG,10.87,-,3.10,27.5,33.0,8
Byron Mullens,C,11.10,-,3.45,28.5,32.5,10
A.J. Price,PG,10.99,-,3.22,26.0,31.0,11
Tyler Smith,SF,10.69,-,3.24,29.0,33.5,10
DaJuan Summers,SF,10.94,-,3.17,29.5,34.5,15
Jermaine Taylor,SG,11.54,-,3.32,34.0,37.5,16
Jeff Teague,PG,11.05,-,3.18,30.5,36.5,13
Hasheem Thabeet,C,-,-,-,-,-,-
Marcus Thornton,SG,10.73,-,3.28,31.0,33.0,14
Terrence Williams,SG-SF,11.15,-,3.18,30.5,37.0,9
Sam Young,SF-SG,11.47,-,3.45,27.5,33.0,-
Joe Alexander,SF-PF,11.33,-,2.99,32.5,38.5,24
Darrell Arthur,PF,12.18,-,3.14,28.5,30.0,12
D.J. Augustin,PG,11.27,-,3.07,28.5,35.0,2
Jerryd Bayless,PG-SG,11.26,-,3.07,31.0,38.0,10
Michael Beasley,PF-SF,11.06,-,3.24,30.0,35.0,19
Ramel Bradley,PG-SG,10.68,-,3.24,24.5,29.5,9
Tyrone Brazelton,PG,11.59,-,3.25,30.0,34.0,8
Takais Brown,PF,12.47,-,3.25,29.0,31.0,22
Keith Brumbaugh,SF-PF,11.65,-,3.28,26.0,27.0,2
Stanley Burrell,PG,11.19,-,3.19,29.5,34.5,21
Brian Butch,C-PF,11.87,-,3.52,24.0,26.5,9
Jamar Butler,PG,-,-,-,-,-,15
Pat Calathes,SF-PF,-,-,-,-,-,7
Joe Crawford,SG,11.67,-,3.22,31.0,36.0,13
Chris Daniels,C-PF,12.72,-,3.56,26.0,28.5,11
Joey Dorsey,PF-C,11.84,-,3.20,27.5,33.0,19
Marcus Dove,SF-PF,11.59,-,3.26,27.5,33.5,10
Josh Duncan,PF,12.47,-,3.26,28.0,32.0,26
Frank Elegar,PF,11.86,-,3.17,33.5,37.5,11
Patrick Ewing Jr.,SF-PF,11.77,-,3.43,35.0,42.0,2
