PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
Gary Forbes,SG,11.45,-,3.25,27.5,33.5,13
Shan Foster,SG,12.30,-,3.24,30.0,33.0,10
J.R. Giddens,SG,-,-,-,-,-,10
James Gist,PF,11.37,-,3.14,30.5,35.0,5
Vladimir Golubovic,C,12.40,-,3.33,21.5,27.0,15
Eric Gordon,SG,10.81,-,3.01,32.0,40.0,15
Kentrell Gransberry,C,12.16,-,3.32,24.5,27.5,18
Donte Greene,SF-PF,11.21,-,3.20,27.5,31.5,2
Malik Hairston,SG,11.33,-,3.08,30.5,38.0,13
DeVon Hardin,C-PF,11.49,-,3.33,29.5,32.0,20
Richard Hendrix,PF,10.62,-,3.27,26.5,28.0,13
George Hill,PG,12.20,-,3.07,34.0,37.5,9
Kyle Hines,SF-PF,12.17,-,3.40,28.5,33.0,16
Jiri Hubalek,C-PF,12.26,-,3.54,20.5,26.0,2
Lester Hudson,PG,11.15,-,3.16,30.5,36.0,12
Othello Hunter,PF-SF,11.51,-,3.18,28.0,34.5,7
Darnell Jackson,PF,11.75,-,3.26,27.0,31.0,11
Shawn James,PF,-,-,-,-,-,6
Davon Jefferson,SF,12.02,-,3.36,27.0,32.0,2
Joseph Jones,PF,11.61,-,3.33,25.5,31.0,16
DeAndre Jordan,C,12.30,-,3.27,26.0,30.5,8
Sasha Kaun,C-PF,12.06,-,3.20,29.0,32.0,13
Marcelus Kemp,SG,11.79,-,3.39,26.0,30.0,9
Maarty Leunen,SF,11.57,-,3.36,29.5,34.5,14
Longar Longar,C,-,-,-,-,-,14
Brook Lopez,C,12.77,-,3.57,27.5,30.5,7
Kevin Love,PF,11.17,-,3.22,29.5,35.0,18
Aleks Maric,C,11.76,-,3.35,23.0,28.0,15
O.J. Mayo,SG-PG,11.04,-,3.14,30.5,41.0,7
James Mays,PF,11.23,-,3.19,29.5,35.0,13
Luc Mbah a Moute,SF,11.71,-,3.17,32.0,38.5,11
JaVale McGee,C-PF,12.75,-,3.25,27.0,32.5,7
Drew Neitzel,PG,11.19,-,3.20,25.5,32.0,10
DeMarcus Nelson,PG-SG,10.54,-,3.13,34.5,38.5,19
David Padgett,C-PF,12.45,-,3.45,24.0,28.0,17
Jeremy Pargo,PG,10.65,-,3.07,32.0,37.0,7
Trent Plaisted,PF,11.32,-,3.17,30.5,35.5,14
Quan Prowell,SF-PF,11.79,-,3.14,32.0,36.0,16
Shaun Pruitt,C-PF,11.30,-,3.40,27.0,32.5,10
Anthony Randolph,PF-SF,11.86,-,3.26,29.0,35.0,7
Charles Rhodes,PF,11.51,-,3.13,26.5,33.5,14
John Riek,C,-,-,-,-,-,-
Brian Roberts,PG,10.65,-,3.05,31.5,36.5,10
Russell Robinson,PG,11.30,-,3.15,25.0,31.5,8
Richard Roby,SG-SF,-,-,-,-,-,-
Derrick Rose,PG,11.69,-,3.05,34.5,40.0,10
Sean Singletary,PG,-,-,-,26.0,-,18
Ronald Steele,PG,11.08,-,3.26,25.0,29.5,5
Mike Taylor,SG-PG,10.98,-,3.08,31.0,39.0,2
Bryce Taylor,SG,11.08,-,3.19,34.5,41.0,16
Mark Tyndale,SG-SF,12.52,-,3.14,27.0,33.5,5
Robert Vaden,SG,11.97,-,3.40,26.0,29.5,10
Deron Washington,SF,11.03,-,3.09,34.0,40.0,7
Sonny Weems,SG-SF,10.58,-,2.96,29.0,36.5,12
Russell Westbrook,PG,10.98,-,3.08,30.0,36.5,12
Reggie Williams,SG,11.32,-,3.07,31.5,36.5,15
Mohamed Abukar,SF,11.78,-,3.37,30.5,35.0,15
Mario Boggan,PF,12.18,-,3.45,24.0,26.5,12
Craig Bradshaw,PF,11.88,-,3.54,26.0,28.0,12
Corey Brewer,SF-SG,11.69,-,3.22,30.5,36.5,11
Aaron Brooks,PG,10.57,-,3.20,32.5,39.5,6
Bobby Brown,PG,11.27,-,3.25,32.5,41.0,3
Russell Carter,SG,11.61,-,3.29,33.0,38.5,25
Coleman Collins,PF,11.47,-,-,30.0,35.0,21
Mike Conley,PG,11.63,-,3.09,35.5,40.5,13
Daequan Cook,SG,11.12,-,3.22,30.0,34.5,4
Ryvon Covile,C-PF,12.52,-,3.37,25.0,30.5,19
Javaris Crittenton,PG,11.60,-,3.32,32.5,38.0,11
Jermareo Davidson,PF,12.63,-,3.53,27.0,30.0,7
Justin Doellman,PF,-,-,-,-,-,19
Zabian Dowdell,PG,11.13,-,3.29,30.0,33.5,3
Jared Dudley,SF,11.32,-,3.45,28.0,32.0,14
Kevin Durant,SF-PF,12.33,-,3.45,26.0,33.5,-
Rashaun Freeman,PF,11.43,-,3.41,28.0,32.0,20
Aaron Gray,C,12.07,-,3.70,27.0,32.5,17
Caleb Green,PF,11.72,-,3.46,28.5,36.0,9
Jeff Green,SF,12.00,-,3.34,33.5,38.0,17
Taurean Green,PG,11.30,-,3.26,29.0,32.5,8
Spencer Hawes,PF,11.88,-,3.51,26.0,29.0,9
Brandon Heath,PG,11.39,-,3.28,32.0,36.0,11
Herbert Hill,C,12.31,-,3.39,30.5,34.0,15
Al Horford,PF,12.15,-,3.37,31.0,35.5,20
Quinton Hosley,SF-SG,12.47,-,3.32,28.5,34.0,12
James Hughes,C,13.31,-,3.37,31.0,33.0,8
Jeremy Hunt,SG,12.11,-,3.29,30.5,33.0,10
Ekene Ibekwe,PF,11.00,-,3.28,34.5,39.0,10
Dominic James,PG,10.94,-,3.11,33.5,38.5,14
Trey Johnson,SG,11.78,-,3.31,26.5,35.0,18
Rashad Jones-Jennings,PF,12.18,-,3.29,25.0,30.0,20
Jared Jordan,PG,11.02,-,3.39,24.5,28.5,6
Coby Karl,SG-PG,11.57,-,3.41,32.0,34.5,9
Antanas Kavaliauskas,PF,11.19,-,3.42,25.5,30.0,19
Carl Landry,PF,11.35,-,3.29,31.5,36.5,21
Stephane Lasme,PF,11.73,-,3.22,29.5,36.0,17
Acie Law,PG,11.00,-,3.22,29.0,34.0,8
Marko Lekic,C,11.96,-,3.43,24.0,30.5,19
Ron Lewis,SG,11.59,-,3.22,33.0,38.0,16
Cartier Martin,SF,12.10,-,3.43,27.0,29.5,11
Dominic McGuire,SF,10.95,-,3.25,28.5,34.5,12
Josh McRoberts,PF,11.70,-,3.47,27.5,31.5,12
Sammy Mejia,SG,11.87,-,3.49,27.0,31.5,7
Brad Newley,SG,11.77,-,3.29,29.5,31.5,3
Demetris Nichols,SF,10.39,-,3.38,28.5,32.5,16
Joakim Noah,PF,11.79,-,3.47,32.5,37.5,12
Greg Oden,C,11.67,-,3.27,32.0,34.0,-
Ivan Radenovic,PF,11.61,-,3.60,23.0,28.0,7
JR Reynolds,PG,11.69,-,3.24,27.5,34.5,15
Chris Richard,PF,11.39,-,3.29,26.5,30.5,15
Dustin Salisbery,SG,11.07,-,3.12,34.0,38.0,11
Blake Schilb,SG,11.63,-,3.36,26.5,33.5,11
Renaldas Seibutis,SG,11.33,-,3.39,24.0,32.5,1
Ramon Sessions,PG,11.65,-,3.27,29.5,33.5,8
Mustafa Shakur,PG,11.82,-,3.27,28.5,35.0,11
Jason Smith,PF,10.96,-,3.29,33.5,37.5,15
DJ Strawberry,SG,10.87,-,3.14,28.5,35.0,21
Rodney Stuckey,SG-PG,11.34,-,3.11,30.5,35.0,14
Curtis Sumpter,SF,11.30,-,3.22,27.5,32.5,12
Yue Sun,SF,10.68,-,3.45,29.0,34.0,9
Jamaal Tatum,PG,11.51,-,3.22,28.5,33.0,7
Reyshawn Terry,SF,11.76,-,3.26,31.0,37.5,18
Al Thornton,SF,11.96,-,3.16,35.0,41.0,9
Anthony Tolliver,PF,11.49,-,3.29,28.5,30.0,21
Ali Traore,C-PF,12.16,-,3.52,25.0,29.0,11
Kyle Visser,C,12.60,-,3.39,26.0,29.0,18
Darryl Watkins,C,11.65,-,3.56,26.5,31.0,14
Major Wingate,C,12.14,-,3.47,27.5,30.5,15
DaShaun Wood,PG,11.40,-,3.23,31.5,34.5,13
Julian Wright,SF-PF,11.48,-,3.36,28.5,33.5,2
Brandan Wright,PF,11.76,-,3.31,30.5,35.5,2
Avis Wyatt,PF,11.46,-,3.23,27.5,32.0,12
Jianlian Yi,,-,-,-,-,-,-
Nick Young,SG-SF,11.00,-,3.25,39.5,40.5,6
Thaddeus Young,SF,11.06,-,3.19,34.5,37.0,13
Kenny Adeleke,PF-C,11.57,-,3.47,28.5,30.5,26
Maurice Ager,SG-PG,11.73,-,3.22,29.5,35.0,11
LaMarcus Aldridge,PF-C,12.02,-,3.43,26.5,34.0,8
Morris Almond,SG-SF,11.45,-,3.19,31.0,35.5,13
Lou Amundson,PF,10.58,-,3.20,32.0,35.5,14
Rashad Anderson,SG,11.77,-,3.48,27.5,32.5,13
Hilton Armstrong,C-PF,12.28,-,3.53,28.5,31.5,13
James Augustine,PF,10.54,-,3.25,30.0,32.5,13
Renaldo Balkman,SF-PF,11.58,-,3.22,30.5,35.0,9
J.P. Batista,PF,11.62,-,3.38,26.0,30.5,26
Will Blalock,PG,11.08,-,3.18,35.0,40.0,8
Brandon Bowman,SF,11.41,-,3.31,31.0,34.0,24
Ronnie Brewer,SG-PG,11.32,-,3.14,35.0,41.0,19
Denham Brown,SG-SF,11.42,-,3.25,28.0,34.5,12
Brad Buckman,PF,12.26,-,3.54,25.5,30.5,10
Nik Caner-Medley,SF,10.57,-,3.21,28.5,35.5,17
Rodney Carney,SG-SF,10.57,-,3.06,32.0,38.5,10
Keydren Clark,PG,11.03,-,3.11,31.0,34.0,13
Mardy Collins,PG-SG,12.00,-,3.27,31.5,37.5,9
Taquan Dean,SG-PG,10.53,-,3.20,30.5,34.5,16
Terence Dials,PF-C,11.54,-,3.50,26.5,30.0,16
Sean Dockery,PG-SG,10.88,-,3.34,29.0,33.0,4
Jordan Farmar,PG,11.07,-,3.17,33.5,42.0,11
Randy Foye,SG-PG,10.53,-,3.23,32.0,38.0,14
Torin Francis,PF-C,11.97,-,3.51,26.5,32.0,9
Rudy Gay,SF-PF,11.03,-,3.32,33.0,40.5,9
Nick George,SF-SG,11.69,-,3.25,30.5,38.0,14
Taj Gray,PF-SF,11.02,-,3.45,28.5,33.0,10
Dan Grunfeld,SF-SG,11.30,-,3.46,28.0,33.5,16
Matt Haryasz,PF-C,11.34,-,3.46,27.5,31.5,10
Eric Hicks,PF,12.06,-,3.34,30.0,34.0,20
Tedric Hill,SF-PF,12.23,-,3.24,30.0,36.5,1
Daniel Horton,PG-SG,10.35,-,3.16,30.0,36.5,17
Bobby Jones,SF-SG,11.23,-,3.28,28.5,34.5,15
Solomon Jones,PF-C,11.27,-,3.30,32.0,39.0,6
Viktor Keyru,SG-PG,11.40,-,3.24,29.0,34.5,11
Marco Killingsworth,PF,11.42,-,3.34,28.0,32.0,13
Tarence Kinsey,SF-SG,10.67,-,3.30,29.0,35.5,5
Carl Krauser,PG,11.62,-,3.38,26.0,31.0,8
Chris McCray,SG,11.46,-,3.34,30.5,39.0,1
Gerry McNamara,PG-SG,11.28,-,3.40,27.0,32.0,3
Pops Mensah-Bonsu,PF-C,11.47,-,3.29,31.5,36.0,19
Paul Miller,PF-C,12.25,-,3.66,29.0,35.5,25
Paul Millsap,PF,11.67,-,3.30,28.5,32.5,15
Dwayne Mitchell,SG-SF,11.45,-,3.16,37.5,41.5,17
Adam Morrison,SF,11.46,-,3.37,25.5,30.5,11
Yemi Nicholson,PF-C,12.57,-,3.65,26.5,26.0,8
David Noel,SF-SG,10.54,-,3.07,34.5,38.5,20
Steve Novak,SF,11.11,-,3.37,24.5,31.0,5
Patrick O'Bryant,C,12.68,-,3.63,26.5,30.0,13
Danilo Pinnock,PG-SG,11.91,-,3.08,29.5,35.5,7
Chris Quinn,PG-SG,11.25,-,3.25,32.0,37.0,7
Allan Ray,SG,11.01,-,3.20,28.5,35.5,9
JJ Redick,SG,10.94,-,3.29,27.5,33.0,6
Antywane Robinson,SF-PF,11.73,-,3.40,29.0,32.5,12
Brandon Roy,SG-SF,11.13,-,3.27,34.0,40.5,6
Blake Schilb,PG-SG,11.25,-,3.43,28.5,34.5,13
Mouhamed Sene,C,12.52,-,3.38,28.5,31.0,7
Cedric Simmons,PF-C,11.05,-,3.31,30.5,35.0,15
Marcus Slaughter,PF-SF,11.56,-,3.40,30.0,34.0,9
Craig Smith,PF,11.59,-,3.40,30.0,29.5,-
Steven Smith,SF-PF,12.08,-,3.40,29.5,34.5,15
Michael Southhall,C,12.29,-,3.51,31.5,37.0,2
Frans Steyn,C,11.67,-,3.38,28.5,29.5,-
Curtis Stinson,SG,10.95,-,3.27,28.0,31.5,17
Tyrus Thomas,PF-SF,11.36,-,3.20,34.0,39.5,8
Joah Tucker,SF-SG,11.58,-,3.31,29.0,34.0,19
Ian Vouyoukas,C-PF,13.70,-,3.72,23.0,28.0,8
Darius Washington,PG,10.71,-,3.26,29.0,37.5,9
CJ Watson,PG,11.61,-,3.15,31.5,34.0,12
Marcus Williams,PG,11.30,-,3.40,24.5,28.0,4
Shawne Williams,SF-PF,10.69,-,3.30,32.0,31.0,-
Justin Williams,C-PF,11.90,-,3.31,26.5,31.5,7
Shelden Williams,PF-C,11.53,-,3.59,29.0,33.5,25
Eric Williams,C-PF,11.71,-,3.56,28.5,29.0,17
Curtis Withers,PF-SF,11.54,-,3.10,35.0,36.5,14
Alex Acker,SG,11.67,-,3.35,28.0,32.0,11
Deji Akindele,C-PF,12.58,-,3.35,30.5,32.5,13
Mustafa Al-Sayyad,PF-C,11.56,-,3.42,26.5,30.5,-
Nemanja Aleksandrov,PF-SF,-,-,-,-,-,5
Alan Anderson,SG-SF,10.32,-,3.27,26.5,30.5,10
Martynas Andriuskevicius,C-PF,11.94,-,3.42,24.0,27.5,-
Sean Banks,SF,11.74,-,3.35,25.0,31.5,7
Eddie Basden,SG-SF,10.52,-,3.21,33.0,36.5,14
Mike Bell,SF-PF,11.73,-,3.29,33.5,39.5,13
Andrew Bogut,C-PF,12.06,-,3.51,27.5,33.5,13
Dee Brown,PG-SG,-,-,-,-,-,-
Will Bynum,PG-SG,11.12,-,3.00,33.0,40.5,15
Marcus Campbell,C,-,-,-,-,-,9
Will Conroy,PG,10.51,-,3.28,30.5,36.5,14
Taylor Coppenrath,PF-SF,11.51,-,3.44,24.5,27.0,5
Travis Diener,PG-SG,10.85,-,3.26,24.5,31.0,1
Ike Diogu,PF,11.94,-,3.45,28.0,31.0,21
Daryl Dorsey,PG,11.41,-,3.24,25.0,30.5,-
Monta Ellis,SG-PG,12.13,-,3.31,26.5,31.5,-
Raymond Felton,PG,10.50,-,3.06,29.0,33.5,6
Rudy Fernandez,SG,10.48,-,3.33,26.5,35.5,-
D'Or Fischer,C-PF,12.53,-,3.50,28.0,30.5,2
Eddy Fobbs,C-PF,11.53,-,3.28,29.5,34.0,12
Sharrod Ford,PF,11.92,-,3.20,28.5,37.0,9
Channing Frye,PF-C,11.60,-,3.38,27.5,31.0,19
Deng Gai,PF-C,12.51,-,3.27,31.5,35.5,11
Francisco Garcia,SF-SG,10.63,-,3.33,27.5,31.5,5
John Gilchrist,PG,11.48,-,3.15,30.5,36.5,12
Marcin Gortat,PF-C,11.48,-,3.33,29.5,36.0,18
Joey Graham,SF,10.62,-,3.05,30.0,36.0,26
Danny Granger,,10.84,-,3.34,31.0,34.0,10
Gerald Green,SF,11.20,-,3.21,31.5,39.0,7
Charles Hayes,SF-PF,10.70,-,3.34,30.0,33.0,20
Luther Head,PG-SG,11.12,-,3.21,31.5,38.5,14
Julius Hodge,SG-SF,10.89,-,3.18,24.5,29.0,14
Jared Homan,C-PF,-,-,-,-,-,16
Ersan Ilyasova,SF,11.59,-,3.56,22.0,30.0,2
Jarrett Jack,PG,10.87,-,3.24,26.0,28.5,5
Dwayne Jones,C-PF,11.87,-,3.25,28.0,31.5,15
Mindaugas Katelynas,SF-PF,11.60,-,3.38,31.5,35.0,7
Jason Klotz,C-PF,13.13,-,3.68,21.5,27.0,12
Carl Krauser,PG-SG,11.62,-,3.38,26.0,31.0,8
Keith Langford,SG-SF,11.38,-,3.23,32.0,29.5,8
David Lee,PF,10.80,-,3.19,30.5,32.5,14
David Lucas,PF,-,-,-,-,-,17
John Lucas III,PG,10.44,-,3.14,29.0,34.0,4
Rawle Marshall,SG-SF,11.64,-,3.21,30.5,37.0,7
Jason Maxiell,PF,-,-,-,-,-,-
Sean May,PF,11.04,-,3.29,30.0,33.0,12
Rashad McCants,SG,10.39,-,3.11,32.5,34.5,15
Ivan McFarlin,PF,10.64,-,3.27,26.5,32.0,10
Juan Mendez,PF-SF,11.70,-,3.24,29.0,33.0,14
Aaron Miles,PG,10.69,-,3.22,32.0,37.5,7
Ellis Myles,PF,12.80,-,3.42,26.0,28.5,15
Larry O'Bannon,SG,11.44,-,3.18,31.5,36.5,17
Drago Pasalic,SF-PF,12.12,-,3.48,25.0,30.5,11
Chris Paul,PG,11.09,-,3.22,32.0,38.0,10
Kevin Pittsnogle,PF,-,-,-,-,-,-
Carlos Powell,SF-PF,11.54,-,3.21,27.5,34.5,12
Roger Powell,SF,-,-,-,-,-,-
Ronnie Price,PG,10.49,-,3.29,31.5,39.0,11
Anthony Roberson,PG,11.17,-,3.19,31.5,37.0,14
Brandon Rush,SG-SF,11.33,-,3.31,32.5,35.0,-
Luke Schenscher,C,12.40,-,3.47,23.5,26.5,1
Wayne Simien,PF,11.05,-,3.35,27.0,27.5,11
Tre Simmons,SG-SF,10.80,-,3.18,27.0,31.5,3
David Simon,C-PF,11.98,-,3.44,28.0,33.0,18
Chris Taft,PF,11.26,-,3.27,28.5,33.0,14
Chris Thomas,PG,10.84,-,3.33,28.5,34.0,14
Omar Thomas,SF-SG,11.11,-,3.27,25.0,29.5,6
Dijon Thompson,SF-SG,-,-,-,-,-,-
Ronny Turiaf,PF,11.50,-,3.23,30.5,33.0,15
Charlie Villanueva,PF-SF,10.86,-,3.30,26.0,31.0,11
Hakim Warrick,PF-SF,-,-,3.22,33.0,38.0,11
Martell Webster,SF,11.39,-,3.39,28.0,30.5,7
Robert Whaley,PF-C,12.11,-,3.25,28.5,33.5,15
Marvin Williams,PF-SF,11.11,-,3.17,29.5,35.0,12
Deron Williams,PG,10.83,-,3.25,30.0,35.0,15
Jawad Williams,SF,11.39,-,3.23,28.0,34.0,15
Antoine Wright,SF-SG,11.45,-,3.41,26.5,29.5,12
Bracey Wright,SG-PG,11.58,-,3.27,30.0,36.0,8
Tony Allen,SG,10.70,-,3.19,31.5,36.5,17
Trevor Ariza,SG-SF,11.63,-,3.29,29.5,32.0,8
Andre Barrett,PG,10.63,-,3.08,29.0,34.5,13
Brandon Bass,PF,11.61,-,3.24,31.5,33.0,18
Andris Biedrins,C,-,-,-,-,-,-
Tony Bobbitt,SG,-,-,-,-,-,1
Brian Boddicker,SF-PF,10.93,-,3.25,28.0,30.0,16
Tim Bowers,PG-SG,11.24,-,3.21,37.0,43.5,13
Andre Brown,PF-C,11.70,-,3.22,32.0,35.5,18
Antonio Burks,PG,-,-,-,-,-,9
Jackie Butler,C,13.32,-,3.40,23.0,25.0,14
Aleksandar Capin,PG,11.50,-,3.27,23.0,29.0,4
Ales Chan,C,12.90,-,3.62,21.0,29.0,2
Josh Childress,SG-SF,11.95,-,3.38,29.0,36.0,11
TJ Cummings,SF,11.58,-,3.12,27.0,31.0,6
Erik Daniels,SF-PF,11.38,-,3.19,31.0,32.0,4
Luol Deng,SF,11.46,-,3.34,27.5,31.5,5
Marcus Douthit,C-PF,11.64,-,3.34,25.5,31.5,1
Chris Duhon,PG,10.45,-,3.14,31.5,35.0,7
John Edwards,C,-,-,-,-,-,15
Andre Emmett,SG-SF,-,-,-,-,-,-
Desmon Farmer,SG,10.89,-,3.20,24.0,31.0,12
Luis Flores,PG-SG,10.97,-,3.10,29.0,32.0,15
Matt Freije,SF-PF,11.15,-,3.25,29.5,31.0,13
Chris Garnett,C-PF,11.75,-,3.36,27.0,31.5,22
Ryan Gomes,SF-PF,12.49,-,3.24,26.5,30.5,9
Ben Gordon,PG-SG,11.28,-,3.19,31.5,37.5,12
Devin Harris,PG,11.03,-,3.19,30.5,37.0,5
Dwight Howard,PF-C,11.21,-,3.14,30.5,35.5,7
Rolando Howell,PF,11.91,-,3.28,28.5,34.5,-
Kris Humphries,PF,11.33,-,3.20,29.5,36.0,22
Andre Iguodala,SG-SF,11.17,-,3.18,30.5,34.5,4
Martin Iti,C-PF,12.28,-,3.41,26.5,32.5,13
Luke Jackson,SF-SG,11.10,-,3.24,26.5,36.0,13
Al Jefferson,PF-SF,13.08,-,3.29,28.5,30.0,3
Arthur Johnson,PF-C,11.81,-,3.38,26.5,28.5,14
Ivan Koljevic,PG,11.07,-,3.28,26.0,28.5,4
Herve Lamizana,SF-PF,-,-,-,-,-,-
Sergei Lishouk,PF-SF,-,-,-,-,-,-
Shaun Livingston,PG-SG,10.72,-,3.23,26.5,30.0,-
Jaime Lloreda,PF,12.93,-,3.23,25.5,29.5,6
Bryant Matthews,SF-SG,11.08,-,3.13,29.0,34.5,13
Marcus Melvin,SF-PF,11.81,-,3.33,25.0,30.5,11
Rich Melzer,PF-SF,11.74,-,3.39,24.5,28.5,8
Ricky Minard,PG-SG,10.94,-,3.10,27.5,33.0,13
James Moore,PF-SF,11.01,-,3.21,28.5,32.5,-
Marcus Moore,PG-SG,11.31,-,3.34,25.0,30.0,-
Michel Morandais,SG-SF,11.45,-,3.22,30.5,33.5,16
Jameer Nelson,PG,10.95,-,3.14,28.5,33.5,15
Misan Nikagbatse,SG-PG,11.27,-,3.32,27.5,32.5,11
Emeka Okafor,C-PF,12.32,-,3.15,31.5,34.0,22
Randall Orr,PF-SF,11.18,-,3.27,26.5,33.0,6
Dylan Page,SF,10.99,-,3.40,26.0,30.0,17
Drago Pasalic,PF,12.97,-,3.56,25.5,30.0,8
Rickey Paulding,SG,11.14,-,3.17,30.0,36.0,17
Kelvin Pena,SG-PG,11.50,-,3.24,27.5,32.5,1
Tim Pickett,PG-SG,-,-,-,-,-,-
Omar Quintero,PG,11.37,-,3.25,25.0,29.0,2
Peter Ramos,C,12.61,-,3.60,24.0,26.5,2
Jared Reiner,C-PF,12.65,-,3.56,22.0,26.0,15
Lawrence Roberts,PF,12.52,-,3.30,27.5,33.0,18
Bernard Robinson,SG-SF,10.91,-,3.17,28.5,34.5,14
Nate Robinson,PG,10.75,-,2.96,35.5,43.5,13
Aerick Sanders,PF,11.98,-,3.37,24.5,30.5,9
Romain Sato,SG,11.27,-,3.18,31.5,35.5,8
Blagota Sekulic,SF-PF,10.93,-,3.39,23.5,31.5,8
Josh Smith,SG-SF,11.43,-,3.24,32.5,39.5,12
J.R. Smith,SG-SF,10.93,-,3.21,29.0,35.5,5
Kirk Snyder,SG-SF,10.79,-,3.13,30.0,35.0,19
Pape Sow,PF-C,12.13,-,3.27,28.0,31.5,18
Tiago Splitter,C-PF,11.65,-,3.38,26.0,31.5,8
Blake Stepp,PG,-,-,-,-,-,-
Tom Timmerrmans,PF-C,13.13,-,3.63,23.0,26.5,15
Marko Tomas,SG-PG,11.80,-,3.23,32.0,31.5,-
Beno Udrih,PG,-,-,-,-,-,2
Jackson Vroman,PF-C,10.75,-,3.25,29.5,33.5,12
Delonte West,PG-SG,11.20,-,3.15,30.0,35.0,12
Damien Wilkins,SG-SF,11.92,-,3.15,26.5,31.0,15
Mike Williams,SF,11.59,-,3.42,23.5,27.5,-
Nate Williams,PF-SF,12.60,-,3.35,23.5,26.0,1
Rashad Wright,PG,11.15,-,3.28,28.5,32.5,10
Aloysius Anagonye,PF,12.93,-,3.30,31.0,34.5,6
Rick Anderson,SF-PF,11.23,-,3.40,26.0,30.5,6
Carmelo Anthony,SF,11.40,-,3.15,30.5,33.5,7
Jerome Beasley,SF-PF,11.36,-,3.25,27.0,32.0,10
Troy Bell,PG,10.89,-,3.06,34.5,41.0,17
LaVell Blanchard,SF,11.64,-,3.38,33.5,36.5,12
Keith Bogans,SG,11.43,-,3.25,29.5,35.0,10
Matt Bonner,PF-SF,11.52,-,3.32,27.0,32.0,20
Chris Bosh,PF,11.80,-,3.30,30.5,33.0,9
Jermaine Boyette,PG-SG,11.20,-,3.07,29.0,35.5,14
Souleymane Camara,PF-SF,11.51,-,3.20,28.5,34.5,2
Matt Carroll,SG-SF,11.11,-,3.35,29.0,33.5,13
Nick Collison,PF,11.62,-,3.28,28.0,33.0,8
Brian Cook,PF-SF,11.87,-,3.45,25.0,29.0,6
Joel Cornette,PF-SF,11.27,-,3.14,26.0,32.5,13
Marquis Daniels,SG-PG,11.62,-,3.25,30.5,35.0,6
Aleksander Djuric,C-PF,11.97,-,3.65,23.5,27.5,3
Ruben Douglas,SG,11.95,-,3.27,28.5,35.0,9
Ronald Dupree,SF-SG,11.09,-,3.23,37.5,41.5,11
Carl English,SG-PG,11.77,-,3.32,28.0,34.0,11
Ebi Ere,SG,11.38,-,3.16,29.5,33.5,-
Marquis Estill,PF-C,12.92,-,3.31,30.0,36.0,7
T.J. Ford,PG,11.45,-,3.20,32.5,39.5,-
Jason Gardner,PG,10.62,-,3.17,30.5,35.0,10
Willie Green,SG-PG,11.86,-,3.19,28.5,28.5,13
Justin Hamilton,PG-SG,11.18,-,3.18,30.0,37.5,17
Travis Hansen,SG,10.72,-,3.18,31.5,35.0,16
Trevor Harvey,C-PF,11.85,-,3.32,29.5,32.0,11
Marcus Hatten,PG,11.50,-,3.15,29.5,37.5,7
