PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
Kirk Hinrich,PG-SG,10.98,-,3.10,29.0,33.5,10
Jerry Holman,PF,11.54,-,3.24,33.0,37.5,11
Sam Hoskin,PF,-,-,-,-,-,24
Josh Howard,SF-SG,10.89,-,3.09,33.0,36.5,4
Brandon Hunter,PF,11.13,-,3.21,32.5,35.0,25
Sani Ibrahim,C-PF,13.02,-,3.40,26.0,30.5,12
Michael Ignerski,PF-SF,11.21,-,3.13,26.5,33.0,10
Robert Jackson,PF-C,11.26,-,3.25,23.5,26.0,15
LeBron James,SF-SG,-,-,-,-,-,-
Britton Johnsen,SF-PF,10.67,-,3.08,26.5,32.5,13
James Jones,SF,11.18,-,3.19,30.5,33.0,9
Dahntay Jones,SG-SF,10.91,-,3.11,30.0,39.5,-
Chris Kaman,C-PF,11.33,-,3.37,23.5,30.5,15
Jason Kapono,SG-SF,11.04,-,3.38,23.5,30.0,8
Jason Keep,C-PF,11.18,-,3.30,29.5,34.0,27
Bernard King,SG-PG,11.37,-,3.18,28.0,33.5,11
Brandin Knight,PG,-,-,-,-,-,6
Kyle Korver,SF,11.42,-,3.47,25.5,31.5,13
James Lang,C-PF,14.01,-,3.55,24.5,32.0,8
Donald Little,PF-C,11.18,-,3.20,33.0,37.0,18
Chris Marcus,C,-,-,-,-,-,12
Chris Massie,PF-C,12.48,-,3.22,26.5,33.0,13
Will McDonald,C-PF,11.83,-,3.42,25.0,32.5,17
Darko Milicic,PF,11.30,-,3.36,26.5,32.5,13
Jeff Newton,PF,11.18,-,3.23,27.5,34.0,9
Uche Nsonwu-Amadi,PF-C,11.83,-,3.25,27.5,29.0,21
Ugonna Okyekwe,SF,11.43,-,3.20,32.0,36.5,8
Marlon Parmer,PG,-,-,3.42,28.0,32.0,13
Stephane Pelle,PF-SF,11.37,-,3.27,28.5,33.0,17
Kirk Penney,SG-SF,10.44,-,3.04,32.0,35.5,15
Pavel Podkolzin,C,13.40,-,3.80,19.5,22.5,5
Josh Powell,PF-SF,11.72,-,3.20,32.5,38.5,15
Hollis Price,PG-SG,10.72,-,3.25,27.5,33.0,1
Luke Ridnour,PG,11.00,-,3.28,26.0,32.5,-
Joe Shipp,SG,11.75,-,3.20,29.0,34.5,17
Ron Slay,SF-PF,12.01,-,3.43,28.5,31.5,10
Theron Smith,PF-SF,10.99,-,3.10,28.5,32.0,25
Tommy Smith,PF-SF,11.54,-,3.14,30.0,33.0,2
Marvin Stone,C-PF,12.10,-,3.50,25.5,27.5,9
Michael Sweetney,PF,12.90,-,3.28,26.0,31.5,3
Sasha Vujacic,PG-SG,-,-,-,-,-,-
Dwyane Wade,SG-SF,10.56,-,3.08,31.5,35.0,9
Wayne Wallace,PF,11.85,-,3.24,29.5,36.0,6
Luke Walton,SF-PF,-,-,-,28.0,-,12
David West,PF-SF,12.18,-,3.43,28.5,31.5,11
Mo Williams,PG-SG,-,-,-,-,-,3
Wesley Wilson,C-PF,12.19,-,3.30,27.0,30.5,20
Doug Wrenn,SF-PF,11.38,-,3.17,34.5,41.0,15
Derrick Zimmerman,PG,11.09,-,3.10,34.0,40.5,13
Nene ,PF,10.73,-,3.19,30.0,34.0,16
Robert Archibald,PF-C,11.34,-,3.33,24.0,27.5,10
Maurice Baker,PG,12.19,-,3.29,29.5,33.0,2
Matt Barnes,SF,10.68,-,3.28,35.5,40.5,11
Lubos Barton,SF-SG,11.20,-,3.31,25.5,31.5,14
Lonny Baxter,PF-C,11.77,-,3.21,28.0,32.5,14
Lee Benson,SF-PF,11.44,-,3.29,27.5,32.5,14
Carlos Boozer,PF,10.77,-,3.31,26.5,28.5,13
Curtis Borchardt,C,12.56,-,3.63,24.0,27.0,7
J.R. Bremer,SG-PG,10.93,-,3.10,30.0,35.5,24
Brian Brown,PG-SG,11.43,-,3.29,26.0,33.0,8
Sylvere Bryan,PF,12.03,-,3.20,28.5,29.5,13
Chris Burgess,C,11.58,-,3.37,24.5,31.0,24
Caron Butler,SF-SG,12.15,-,3.33,27.0,31.0,2
Rasual Butler,SF,11.54,-,3.29,31.5,37.5,10
Mire Chatman,PG-SG,11.12,-,3.18,29.0,33.0,1
Chris Christoffersen,C,12.55,-,3.39,28.0,31.0,13
Lenny Cooke,SG-SF,-,-,-,-,-,-
Craig Dawson,SG-SF,12.06,-,3.25,26.0,30.0,-
Mike Dunleavy,SF,11.55,-,3.30,24.5,29.0,11
Teddy Dupay,PG,10.53,-,3.19,28.0,33.0,16
Corsley Edwards,PF,12.18,-,3.31,28.5,33.0,12
Andy Ellis,PF,11.69,-,3.34,32.0,35.5,6
Melvin Ely,PF,11.96,-,3.35,26.0,29.0,7
Reggie Evans,PF,12.73,-,3.26,26.0,29.5,15
Peter Fehse,PF-C,-,-,-,-,-,-
Drew Gooden,PF,11.81,-,3.19,29.0,33.0,13
David Graves,SG,11.20,-,3.27,26.0,29.5,8
Lynn Greer,PG,11.24,-,3.16,29.5,36.5,12
Rod Grizzard,SF-SG,-,-,-,-,-,6
Anthony Grundy,PG-SG,11.10,-,3.39,27.5,32.0,-
Marcus Haislip,PF,11.35,-,3.21,33.5,36.5,8
Damon Hancock,SG-PG,11.62,-,3.03,32.0,35.0,15
Greg Harrington,PG,12.06,-,3.32,28.5,34.0,15
Udonis Haslem,PF,11.80,-,3.31,28.5,33.5,22
Cordell Henry,PG,11.30,-,3.04,33.0,37.5,1
Randy Holcomb,SF-PF,12.85,-,3.22,29.5,35.5,15
Ryan Humphrey,PF-SF,11.75,-,3.20,31.5,37.5,13
Jared Jeffries,PF,11.73,-,3.40,26.0,30.0,9
Jason Jennings,C,11.92,-,3.62,29.0,32.0,8
Fred Jones,SG,11.12,-,3.13,33.5,37.5,-
Lonnie Jones,C-PF,11.80,-,3.33,30.5,31.5,15
Mario Kasun,C,-,-,-,-,-,12
Sean Kennedy,PG,11.64,-,3.28,22.5,26.5,-
Kris Lang,C-PF,11.36,-,3.24,28.0,29.0,19
Muhammed Lasege,C-PF,12.96,-,3.29,27.5,30.0,18
Steve Logan,PG,-,-,-,-,-,11
Kevin Lyde,C-PF,12.97,-,3.36,27.5,30.5,13
Tito Maddox,PG,12.20,-,3.24,27.0,32.5,-
Kei Madison,SF,11.74,-,3.22,27.5,34.5,6
Chris Massie,PF,-,-,-,-,-,-
Immanuel McElroy,SG,-,-,-,-,-,9
Aaron McGhee,PF-SF,12.24,-,-,26.0,28.5,-
Elvin Mims,SF-SG,11.17,-,3.22,32.0,38.0,7
Byron Mouton,SG-SF,11.84,-,3.10,24.0,30.0,7
Ronald Murray,SG,11.13,-,3.16,31.0,36.5,9
Uche Okafor,PF-C,14.45,-,3.34,24.5,25.0,10
Chris Owens,PF-SF,-,-,-,-,-,10
Jannero Pargo,PG,11.11,-,3.20,25.5,29.5,5
Smush Parker,PG-SG,12.30,-,3.26,21.0,28.5,1
Luke Recker,SG-SF,10.78,-,3.27,25.5,31.0,13
Rolan Roberts,PF,11.36,-,3.33,32.5,37.5,16
Travis Robinson,SF,11.96,-,3.43,26.0,33.0,3
Kareem Rush,SG-SF,11.86,-,3.22,26.0,30.0,15
Brooks Sales,PF-C,11.05,-,3.29,26.0,29.5,13
John Salmons,SF-SG,11.35,-,3.25,30.5,34.5,12
Predrag Savovic,SG,10.94,-,3.38,22.5,28.5,13
Julian Sensley,PF-SF,11.85,-,3.32,27.5,31.5,8
Israel Sheinfeld,PF-C,-,-,-,-,-,8
Preston Shumpert,SF,11.03,-,3.24,28.5,29.0,9
Tamar Slay,SF,10.94,-,3.09,32.5,38.0,11
Darius Songaila,PF,11.69,-,3.52,24.5,29.5,8
Amar'e Stoudemire,PF,11.19,-,3.25,32.0,35.5,12
Marcus Taylor,PG,11.25,-,3.31,27.5,33.5,4
Jobey Thomas,SG,11.46,-,3.30,26.0,32.0,13
Dajuan Wagner,PG-SG,12.03,-,3.22,28.0,35.0,16
Chris Wilcox,PF-C,11.43,-,3.16,31.0,34.5,20
Frank Williams,PG,11.73,-,3.29,26.0,31.0,-
George Williams,PF-SF,11.21,-,3.24,33.5,39.0,11
Jay Williams,PG,10.34,-,3.09,28.5,36.0,10
Qyntel Woods,SF-SG,11.94,-,3.23,33.5,34.5,2
Vincent Yarbrough,SF,11.70,-,3.32,30.0,34.0,10
Adam Allenspach,C,11.90,-,3.40,28.5,31.0,16
Gilbert Arenas,SG,-,-,3.25,31.5,36.0,12
Brandon Armstrong,SG,10.91,-,3.20,30.0,37.0,6
Shane Battier,SF-PF,10.95,-,3.30,29.5,33.0,12
Cookie Belcher,SG-PG,11.26,-,2.91,35.0,41.5,7
Charlie Bell,PG,10.59,-,3.12,31.5,38.0,15
Ruben Boumtje-Boumtje,C,11.84,-,3.33,26.5,31.0,6
Calvin Bowman,PF,11.96,-,3.21,28.5,34.5,7
Michael Bradley,PF,11.11,-,3.35,27.0,30.0,13
Jamison Brewer,PG,9.65,-,3.15,26.0,32.5,12
Kwame Brown,PF-C,11.59,-,3.45,30.0,33.0,17
SirValiant Brown,PG,11.23,-,3.00,31.0,39.5,10
Damone Brown,SF,11.81,-,3.27,32.0,37.0,6
Ryan Carroll,SF-SG,11.00,-,3.10,34.5,39.0,14
Tyson Chandler,SF-PF,12.13,-,3.36,31.0,33.5,2
Eric Chenowith,C,12.50,-,3.59,23.5,27.5,6
Sam Clancy,PF,11.47,-,3.13,31.0,34.0,15
Gyasi Cline-Heard,PF,11.40,-,3.23,31.5,34.5,11
Jason Collins,PF-C,12.10,-,3.54,25.5,28.5,8
Jarron Collins,C-PF,11.65,-,3.60,23.0,29.0,10
Omar Cook,PG,10.77,-,3.20,31.0,35.5,9
Eddy Curry,C,12.25,-,3.53,28.0,31.0,16
Tate Decker,SF,12.19,-,3.47,25.5,28.5,13
DeSagana Diop,C,12.37,-,3.56,21.5,25.5,15
Robb Dryden,C,12.47,-,3.46,27.0,30.0,8
Anthony Evans,PF,12.56,-,3.31,31.5,33.0,18
Maurice Evans,SG,10.08,-,3.12,34.5,37.5,22
Benjamin Eze,C-PF,13.05,-,3.36,29.0,32.0,14
Kimani Ffriend,C-PF,11.46,-,3.09,32.0,33.0,9
Alton Ford,PF,11.70,-,3.16,34.5,36.5,21
Joseph Forte,SG,11.51,-,3.19,26.5,33.0,10
Jason Gardner,PG,10.88,-,2.92,34.5,40.0,9
Jerry Green,PG-SG,11.70,-,3.17,28.5,35.0,13
Kenny Gregory,SF,11.33,-,3.10,39.5,45.5,10
Eddie Griffin,PF-SF,11.77,-,3.21,26.5,33.0,3
Trenton Hassell,SG-SF,11.57,-,3.29,35.5,37.5,12
Kirk Haston,PF-SF,12.25,-,3.35,27.0,31.5,11
Charles Hathaway,C,-,-,-,-,-,-
Brendan Haywood,C,12.87,-,3.50,27.0,28.5,17
Michael Hicks,SG,11.38,-,3.19,33.0,40.5,13
Steven Hunter,C-PF,11.99,-,3.15,30.5,38.5,11
Andre Hutson,PF,11.25,-,3.30,29.0,32.5,17
Nate James,SF,11.42,-,3.31,26.0,31.0,23
Richard Jefferson,SF,11.19,-,3.15,33.0,38.5,14
Horace Jenkins,PG,10.97,-,3.10,34.5,41.0,2
Darrell Johns,C,12.41,-,3.59,23.5,30.0,18
Ken Johnson,C,11.27,-,3.12,32.5,35.0,13
Joe Johnson,SF-SG,12.05,-,3.40,32.5,36.5,12
Darren Kelly,SG-PG,11.38,-,3.21,30.5,34.5,1
Sean Lampley,SF,11.06,-,3.12,36.0,40.0,12
Zach Marbury,PG-SG,11.53,-,3.10,33.0,36.5,-
Mike Mardesich,C-PF,11.65,-,3.45,24.0,30.0,8
DeMarcus Minor,SG,10.57,-,3.15,29.0,41.0,9
Jamario Moon,SF,11.64,-,3.08,33.0,43.0,-
Troy Murphy,PF,11.22,-,3.43,28.5,34.5,11
Troy Ostler,PF-SF,13.42,-,3.50,26.5,29.5,2
Lazaros Papadopoulos,C-PF,12.00,-,3.70,23.0,26.0,4
Rashad Phillips,PG,11.93,-,3.27,27.0,32.0,5
Demetrius Porter,PG,11.50,-,3.34,26.0,31.0,5
Martin Rancik,PF-SF,10.77,-,3.19,32.0,37.0,14
Jason Richardson,SF-SG,11.75,-,3.12,32.5,39.5,15
Norman Richardson,SG,10.97,-,3.15,30.5,35.5,2
Jeryl Sasser,PG-SG,11.47,-,3.22,29.0,34.0,1
Kenny Satterfield,PG,12.05,-,3.20,28.5,33.0,3
Brian Scalabrine,PF-SF,11.75,-,3.47,27.0,30.5,14
Lee Scruggs,PF-SF,13.28,-,3.55,23.5,29.5,-
Bobby Simmons,SF,11.69,-,3.41,27.5,34.0,12
Will Solomon,PG-SG,11.30,-,3.22,28.5,35.0,4
Greg Stevenson,SF,11.29,-,3.23,30.0,35.5,15
Damone Thornton,PF,11.17,-,3.20,33.5,37.5,19
Jamaal Tinsley,PG,11.96,-,3.20,28.0,37.5,1
Tory Walker,SF,11.95,-,3.25,28.0,33.0,7
Souleymane Wane,C,12.02,-,3.46,29.0,30.5,9
Earl Watson,PG,10.97,-,3.19,32.5,37.5,4
Rodney White,SF,12.07,-,3.47,27.5,33.0,16
Loren Woods,C-PF,11.83,-,3.48,24.5,28.0,10
Michael Wright,PF,11.37,-,3.21,27.5,33.5,18
Brent Wright,PF-SF,12.25,-,3.30,23.0,29.0,19
Malik Allen,PF-C,11.83,-,3.38,25.5,29.0,13
Harold Arceneaux,SG-SF,13.80,-,-,-,29.0,-
Lamont Barnes,PF-C,12.30,-,3.40,28.0,29.5,10
Mario Bland,PF,13.04,-,3.47,27.0,31.0,15
Primoz Brezec,C,11.53,-,3.55,26.0,29.5,-
Ernest Brown,C,-,-,-,-,-,2
Speedy Claxton,PG,10.48,-,3.06,36.0,42.5,6
Eric Coley,SG-SF,11.40,-,3.15,35.0,38.0,10
Ed Cota,PG,10.98,-,3.24,26.5,33.5,1
Schea Cotton,SF,11.55,-,3.00,34.0,38.0,19
Jamal Crawford,PG-SG,-,-,-,-,-,-
Caswell Cyrus,PF,12.12,-,3.16,33.5,37.5,18
Khalid El-Amin,PG,10.59,-,3.32,27.5,32.0,6
Vassil Evtimov,PF,11.75,-,3.52,21.0,28.5,13
Antonis Fotsis,SF,11.60,-,3.44,27.0,30.0,2
Eddie Gill,PG,11.12,-,3.18,35.0,38.5,13
Ceedric Goodwyn,SF-PF,-,-,-,-,-,-
Marcus Goree,SF-PF,12.00,-,3.25,29.5,33.5,13
A.J. Granger,SF,10.73,-,3.25,30.0,34.0,20
A.J. Guyton,PG-SG,10.55,-,3.22,33.0,37.5,9
Ron Hale,SG-SF,12.58,-,3.20,29.5,34.5,11
Jason Hart,PG,11.70,-,3.34,29.5,33.5,9
Donnell Harvey,PF,11.23,-,-,33.0,32.5,15
Johnny Hemsley,SG-SF,11.50,-,3.19,31.5,35.0,5
Michael Hermon,SG-PG,11.79,-,3.25,29.0,33.0,-
Cory Hightower,SG-SF,11.92,-,3.37,29.5,34.5,-
Shaheen Holloway,PG,11.22,-,3.32,-,-,6
Eddie House,SG-PG,11.12,-,3.27,29.5,38.5,5
Jimmie Hunter,SG-PG,11.23,-,3.35,29.0,36.0,-
Jacob Jaacks,PF,11.48,-,3.58,26.0,32.0,3
Marko Jaric,SG-SF,11.32,-,3.28,27.5,33.0,-
Nate Johnson,SF,11.90,-,3.33,27.0,33.5,13
Kenyon Jones,PF-C,12.44,-,3.60,28.5,30.0,20
Mark Karcher,SG,11.51,-,3.40,27.5,30.5,12
Brandon Kurtz,PF-C,-,-,-,-,-,7
Dan Langhi,SF,10.85,-,3.24,31.0,34.5,12
Justin Love,PG-SG,10.99,-,3.31,31.0,38.5,24
Mark Madsen,PF,12.12,-,3.46,30.5,33.5,13
Dan McClintock,C-PF,11.52,-,3.33,33.0,35.0,20
Pete Mickeal,SG-SF,10.83,-,3.06,28.0,34.5,8
Brian Montonati,PF,11.85,-,3.53,25.0,29.0,5
Gabe Muoneke,PF-SF,11.00,-,3.40,30.5,34.0,22
Ndongo N'diaye,C,13.16,-,3.69,24.5,27.5,4
Eduardo Najera,PF-SF,11.38,-,3.45,28.0,35.0,15
Matthew Nielsen,PF,11.28,-,3.35,26.0,29.0,3
Chris Porter,SF-PF,10.93,-,3.20,28.5,35.0,6
Lavor Postell,SG,11.79,-,3.30,33.5,36.5,17
Igor Rakocevic,PG,10.40,-,3.10,27.5,34.0,9
Reed Rawlings,SG-SF,11.10,-,3.27,28.5,33.5,13
Michael Redd,SG-SF,12.06,-,3.34,27.0,31.0,12
Damon Reed,PF-C,11.21,-,3.31,27.5,31.5,4
Aubrey Reese,PG,11.13,-,3.25,31.5,37.5,14
Terrance Roberson,SF,11.66,-,-,29.0,32.5,11
Julius Doc Robinson,PG,12.54,-,3.41,30.0,37.5,-
Pepe Sanchez,PG,11.62,-,3.44,26.0,31.0,8
Matt Santangelo,PG,10.66,-,3.06,33.5,43.0,12
Alex Scales,SG-PG,10.98,-,3.21,38.5,42.5,10
Karim Shabazz,C,12.72,-,3.36,24.5,28.0,2
Nick Sheppard,PF-C,12.14,-,3.52,23.5,25.5,18
Mike Smith,SF,11.32,-,3.22,33.0,21.0,12
Jabari Smith,PF-C,12.45,-,3.43,24.5,30.0,15
Jarrett Stephens,PF,11.98,-,3.46,27.0,29.0,13
Bootsy Thornton,SG,12.08,-,3.33,26.5,31.0,7
Jaquay Walls,PG,10.75,-,3.23,28.5,35.5,-
Jameel Watkins,PF-C,12.38,-,3.45,28.0,30.5,11
Malik Allen,PF-C,11.83,-,3.38,25.5,29.0,13
Harold Arceneaux,SG-SF,13.80,-,-,-,29.0,-
Lamont Barnes,PF-C,12.30,-,3.40,28.0,29.5,10
Mario Bland,PF,13.04,-,3.47,27.0,31.0,15
Primoz Brezec,C,11.53,-,3.55,26.0,29.5,-
Ernest Brown,C,-,-,-,-,-,2
Speedy Claxton,PG,10.48,-,3.06,36.0,42.5,6
Eric Coley,SG-SF,11.40,-,3.15,35.0,38.0,10
Ed Cota,PG,10.98,-,3.24,26.5,33.5,1
Schea Cotton,SF,11.55,-,3.00,34.0,38.0,19
Jamal Crawford,PG-SG,-,-,-,-,-,-
Caswell Cyrus,PF,12.12,-,3.16,33.5,37.5,18
Khalid El-Amin,PG,10.59,-,3.32,27.5,32.0,6
Vassil Evtimov,PF,11.75,-,3.52,21.0,28.5,13
Antonis Fotsis,SF,11.60,-,3.44,27.0,30.0,2
Eddie Gill,PG,11.12,-,3.18,35.0,38.5,13
Ceedric Goodwyn,SF-PF,-,-,-,-,-,-
Marcus Goree,SF-PF,12.00,-,3.25,29.5,33.5,13
A.J. Granger,SF,10.73,-,3.25,30.0,34.0,20
A.J. Guyton,PG-SG,10.55,-,3.22,33.0,37.5,9
Ron Hale,SG-SF,12.58,-,3.20,29.5,34.5,11
Jason Hart,PG,11.70,-,3.34,29.5,33.5,9
Donnell Harvey,PF,11.23,-,-,33.0,32.5,15
Johnny Hemsley,SG-SF,11.50,-,3.19,31.5,35.0,5
Michael Hermon,SG-PG,11.79,-,3.25,29.0,33.0,-
Cory Hightower,SG-SF,11.92,-,3.37,29.5,34.5,-
Shaheen Holloway,PG,11.22,-,3.32,-,-,6
Eddie House,SG-PG,11.12,-,3.27,29.5,38.5,5
Jimmie Hunter,SG-PG,11.23,-,3.35,29.0,36.0,-
Jacob Jaacks,PF,11.48,-,3.58,26.0,32.0,3
Marko Jaric,SG-SF,11.32,-,3.28,27.5,33.0,-
Nate Johnson,SF,11.90,-,3.33,27.0,33.5,13
Kenyon Jones,PF-C,12.44,-,3.60,28.5,30.0,20
Mark Karcher,SG,11.51,-,3.40,27.5,30.5,12
Brandon Kurtz,PF-C,-,-,-,-,-,7
Dan Langhi,SF,10.85,-,3.24,31.0,34.5,12
Justin Love,PG-SG,10.99,-,3.31,31.0,38.5,24
Mark Madsen,PF,12.12,-,3.46,30.5,33.5,13
Dan McClintock,C-PF,11.52,-,3.33,33.0,35.0,20
Pete Mickeal,SG-SF,10.83,-,3.06,28.0,34.5,8
Brian Montonati,PF,11.85,-,3.53,25.0,29.0,5
Gabe Muoneke,PF-SF,11.00,-,3.40,30.5,34.0,22
Ndongo N'diaye,C,13.16,-,3.69,24.5,27.5,4
Eduardo Najera,PF-SF,11.38,-,3.45,28.0,35.0,15
Matthew Nielsen,PF,11.28,-,3.35,26.0,29.0,3
Chris Porter,SF-PF,10.93,-,3.20,28.5,35.0,6
Lavor Postell,SG,11.79,-,3.30,33.5,36.5,17
Igor Rakocevic,PG,10.40,-,3.10,27.5,34.0,9
Reed Rawlings,SG-SF,11.10,-,3.27,28.5,33.5,13
Michael Redd,SG-SF,12.06,-,3.34,27.0,31.0,12
Damon Reed,PF-C,11.21,-,3.31,27.5,31.5,4
Aubrey Reese,PG,11.13,-,3.25,31.5,37.5,14
Terrance Roberson,SF,11.66,-,-,29.0,32.5,11
Julius Doc Robinson,PG,12.54,-,3.41,30.0,37.5,-
Pepe Sanchez,PG,11.62,-,3.44,26.0,31.0,8
Matt Santangelo,PG,10.66,-,3.06,33.5,43.0,12
Alex Scales,SG-PG,10.98,-,3.21,38.5,42.5,10
Karim Shabazz,C,12.72,-,3.36,24.5,28.0,2
Nick Sheppard,PF-C,12.14,-,3.52,23.5,25.5,18
Mike Smith,SF,11.32,-,3.22,33.0,21.0,12
Jabari Smith,PF-C,12.45,-,3.43,24.5,30.0,15
Jarrett Stephens,PF,11.98,-,3.46,27.0,29.0,13
Bootsy Thornton,SG,12.08,-,3.33,26.5,31.0,7
Jaquay Walls,PG,10.75,-,3.23,28.5,35.5,-
Jameel Watkins,PF-C,12.38,-,3.45,28.0,30.5,11
Malik Allen,PF-C,11.83,-,3.38,25.5,29.0,13
Harold Arceneaux,SG-SF,13.80,-,-,-,29.0,-
Lamont Barnes,PF-C,12.30,-,3.40,28.0,29.5,10
Mario Bland,PF,13.04,-,3.47,27.0,31.0,15
Primoz Brezec,C,11.53,-,3.55,26.0,29.5,-
Ernest Brown,C,-,-,-,-,-,2
Speedy Claxton,PG,10.48,-,3.06,36.0,42.5,6
Eric Coley,SG-SF,11.40,-,3.15,35.0,38.0,10
Ed Cota,PG,10.98,-,3.24,26.5,33.5,1
Schea Cotton,SF,11.55,-,3.00,34.0,38.0,19
Jamal Crawford,PG-SG,-,-,-,-,-,-
Caswell Cyrus,PF,12.12,-,3.16,33.5,37.5,18
Khalid El-Amin,PG,10.59,-,3.32,27.5,32.0,6
Vassil Evtimov,PF,11.75,-,3.52,21.0,28.5,13
Antonis Fotsis,SF,11.60,-,3.44,27.0,30.0,2
Eddie Gill,PG,11.12,-,3.18,35.0,38.5,13
Ceedric Goodwyn,SF-PF,-,-,-,-,-,-
Marcus Goree,SF-PF,12.00,-,3.25,29.5,33.5,13
A.J. Granger,SF,10.73,-,3.25,30.0,34.0,20
A.J. Guyton,PG-SG,10.55,-,3.22,33.0,37.5,9
Ron Hale,SG-SF,12.58,-,3.20,29.5,34.5,11
Jason Hart,PG,11.70,-,3.34,29.5,33.5,9
Donnell Harvey,PF,11.23,-,-,33.0,32.5,15
Johnny Hemsley,SG-SF,11.50,-,3.19,31.5,35.0,5
Michael Hermon,SG-PG,11.79,-,3.25,29.0,33.0,-
Cory Hightower,SG-SF,11.92,-,3.37,29.5,34.5,-
Shaheen Holloway,PG,11.22,-,3.32,-,-,6
Eddie House,SG-PG,11.12,-,3.27,29.5,38.5,5
Jimmie Hunter,SG-PG,11.23,-,3.35,29.0,36.0,-
Jacob Jaacks,PF,11.48,-,3.58,26.0,32.0,3
Marko Jaric,SG-SF,11.32,-,3.28,27.5,33.0,-
Nate Johnson,SF,11.90,-,3.33,27.0,33.5,13
Kenyon Jones,PF-C,12.44,-,3.60,28.5,30.0,20
Mark Karcher,SG,11.51,-,3.40,27.5,30.5,12
Brandon Kurtz,PF-C,-,-,-,-,-,7
Dan Langhi,SF,10.85,-,3.24,31.0,34.5,12
Justin Love,PG-SG,10.99,-,3.31,31.0,38.5,24
Mark Madsen,PF,12.12,-,3.46,30.5,33.5,13
Dan McClintock,C-PF,11.52,-,3.33,33.0,35.0,20
Pete Mickeal,SG-SF,10.83,-,3.06,28.0,34.5,8
Brian Montonati,PF,11.85,-,3.53,25.0,29.0,5
Gabe Muoneke,PF-SF,11.00,-,3.40,30.5,34.0,22
Ndongo N'diaye,C,13.16,-,3.69,24.5,27.5,4
Eduardo Najera,PF-SF,11.38,-,3.45,28.0,35.0,15
Matthew Nielsen,PF,11.28,-,3.35,26.0,29.0,3
Chris Porter,SF-PF,10.93,-,3.20,28.5,35.0,6
Lavor Postell,SG,11.79,-,3.30,33.5,36.5,17
Igor Rakocevic,PG,10.40,-,3.10,27.5,34.0,9
Reed Rawlings,SG-SF,11.10,-,3.27,28.5,33.5,13
Michael Redd,SG-SF,12.06,-,3.34,27.0,31.0,12
Damon Reed,PF-C,11.21,-,3.31,27.5,31.5,4
Aubrey Reese,PG,11.13,-,3.25,31.5,37.5,14
Terrance Roberson,SF,11.66,-,-,29.0,32.5,11
Julius Doc Robinson,PG,12.54,-,3.41,30.0,37.5,-
Pepe Sanchez,PG,11.62,-,3.44,26.0,31.0,8
Matt Santangelo,PG,10.66,-,3.06,33.5,43.0,12
Alex Scales,SG-PG,10.98,-,3.21,38.5,42.5,10
Karim Shabazz,C,12.72,-,3.36,24.5,28.0,2
Nick Sheppard,PF-C,12.14,-,3.52,23.5,25.5,18
Mike Smith,SF,11.32,-,3.22,33.0,21.0,12
Jabari Smith,PF-C,12.45,-,3.43,24.5,30.0,15
Jarrett Stephens,PF,11.98,-,3.46,27.0,29.0,13
Bootsy Thornton,SG,12.08,-,3.33,26.5,31.0,7
Jaquay Walls,PG,10.75,-,3.23,28.5,35.5,-
Jameel Watkins,PF-C,12.38,-,3.45,28.0,30.5,11
