Player,Team,Number,Position,Height,Weight,Last Attended,Country
PreciousAchiuwa,TOR,5,F,203.2,102.0582,Memphis,Nigeria
StevenAdams,MEM,4,C,210.82,120.20188,Pittsburgh,New Zealand
BamAdebayo,MIA,13,C-F,205.74,115.66596,Kentucky,USA
OchaiAgbaji,UTA,30,G,195.58,97.52228,Kansas,USA
SantiAldama,MEM,7,F-C,213.36,97.52228,Loyola-Maryland,Spain
NickeilAlexander-Walker,UTA,6,G,195.58,92.98636,Virginia Tech,Canada
GraysonAllen,MIL,12,G,193.04,89.811216,Duke,USA
JarrettAllen,CLE,31,C,205.74,110.222856,Texas,USA
JoseAlvarado,NOP,15,G,182.88,81.192968,Georgia Tech,USA
KyleAnderson,MIN,5,F-G,205.74,104.32616,UCLA,USA
GiannisAntetokounmpo,MIL,34,F,213.36,110.222856,Filathlitikos,Greece
KostasAntetokounmpo,CHI,37,F,208.28,90.7184,Dayton,Greece
ThanasisAntetokounmpo,MIL,43,F,200.66,99.336648,Panathinaikos,Greece
ColeAnthony,ORL,50,G,190.5,83.91452,North Carolina,USA
O.G.Anunoby,TOR,3,F,200.66,105.233344,Indiana,United Kingdom
RyanArcidiacono,NYK,51,G,190.5,88.45044,Villanova,USA
DeniAvdija,WAS,9,F,205.74,95.25431999999999,Maccabi Tel Aviv,Israel
DeandreAyton,PHX,22,C,213.36,113.398,Arizona,Bahamas
UdokaAzubuike,UTA,20,C-F,210.82,122.46984,Kansas,Nigeria
MarvinBagley III,DET,35,F,208.28,106.59412,Duke,USA
PatrickBaldwin Jr.,GSW,7,F,205.74,99.79024,Wisconsin-Milwaukee,USA
LaMeloBall,CHA,1,G,200.66,81.64656,Illawarra,USA
LonzoBall,CHI,2,G,198.12,86.18248,UCLA,USA
MoBamba,ORL,11,C,213.36,104.779752,Texas,USA
PaoloBanchero,ORL,5,F,208.28,113.398,Duke,USA
DesmondBane,MEM,22,G,195.58,97.52228,TCU,USA
DalanoBanton,TOR,45,F,200.66,92.532768,Nebraska,Canada
DominickBarlow,SAS,26,F,205.74,97.52228, ,USA
HarrisonBarnes,SAC,40,F,203.2,102.0582,North Carolina,USA
ScottieBarnes,TOR,4,F,203.2,102.0582,Florida State,USA
RJBarrett,NYK,9,F-G,198.12,97.068688,Duke,Canada
WillBarton,WAS,5,G,195.58,82.100152,Memphis,USA
CharlesBassey,SAS,28,C-F,205.74,104.32616,Western Kentucky,Nigeria
KeitaBates-Diop,SAS,31,F,203.2,103.872568,Ohio State,USA
NicolasBatum,LAC,33,G-F,203.2,104.32616,Le Mans,France
DariusBazley,OKC,55,F,205.74,97.975872,Princeton HS (OH),USA
BradleyBeal,WAS,3,G,193.04,93.893544,Florida,USA
MalikBeasley,UTA,5,G,193.04,84.821704,Florida State,USA
MarJonBeauchamp,MIL,0,F,200.66,90.264808,NBA G League Ignite,USA
DavisBertans,DAL,44,F,208.28,102.0582,Baskonia,Latvia
PatrickBeverley,LAL,21,G,187.96,81.64656,Arkansas,USA
SaddiqBey,DET,41,F,200.66,97.52228,Villanova,USA
KhemBirch,TOR,24,C,203.2,105.686936,UNLV,Canada
GogaBitadze,IND,88,C-F,210.82,113.398,Mega Basket,Georgia
BismackBiyombo,PHX,18,C,203.2,115.66596,Baloncesto Fuenlabrada,DRC
BuddyBoeheim,DET,27,F,198.12,92.98636,Syracuse,USA
BogdanBogdanovic,ATL,13,G,195.58,102.0582,Fenerbahce,Serbia
BojanBogdanovic,DET,44,F,200.66,102.511792,Fenerbahce,Croatia
BolBol,ORL,10,C-F,218.44,99.79024,Oregon,Sudan
LeandroBolmaro,UTA,10,F,198.12,90.7184,FC Barcelona,Argentina
DevinBooker,PHX,1,G,195.58,93.439952,Kentucky,USA
BrandonBoston Jr.,LAC,4,G,198.12,85.275296,Kentucky,USA
ChrisBoucher,TOR,25,F-C,205.74,90.7184,Oregon,Saint Lucia
JamesBouknight,CHA,2,G,193.04,86.18248,Connecticut,USA
TonyBradley,CHI,13,C-F,210.82,112.490816,North Carolina,USA
MalakiBranham,SAS,22,F,193.04,81.64656,Ohio State,USA
ChristianBraun,DEN,0,G,198.12,99.79024,Kansas,USA
MikalBridges,PHX,25,F,198.12,94.80072799999999,Villanova,USA
OshaeBrissett,IND,12,F-G,200.66,95.25431999999999,Syracuse,Canada
MalcolmBrogdon,BOS,13,G,193.04,103.872568,Virginia,USA
DillonBrooks,MEM,24,G-F,198.12,102.0582,Oregon,Canada
BruceBrown,DEN,11,G-F,193.04,91.625584,Miami,USA
JaylenBrown,BOS,7,G-F,198.12,101.151016,California,USA
KendallBrown,IND,10,G,200.66,92.98636,Baylor,USA
MosesBrown,LAC,6,C,218.44,111.13004,UCLA,USA
GregBrown III,POR,4,F,200.66,93.439952,Texas,USA
TroyBrown Jr.,LAL,7,G-F,200.66,97.52228,Oregon,USA
JalenBrunson,NYK,11,G,187.96,86.18248,Villanova,USA
ThomasBryant,LAL,31,C-F,208.28,112.490816,Indiana,USA
ReggieBullock,DAL,25,G-F,198.12,92.98636,North Carolina,USA
AlecBurks,DET,5,G,198.12,97.068688,Colorado,USA
JimmyButler,MIA,22,F,200.66,104.32616,Marquette,USA
JohnButler Jr.,POR,21,F,213.36,86.18248,Florida State,USA
JamalCain,MIA,8,F,198.12,86.636072,Oakland,USA
KentaviousCaldwell-Pope,DEN,5,G,195.58,92.532768,Georgia,USA
FacundoCampazzo,DAL,2,G,177.8,88.45044,Murcia,Argentina
VlatkoCancar,DEN,31,F,203.2,107.047712,San Pablo Burgos,Slovenia
ClintCapela,ATL,15,C,208.28,116.119552,Elan Chalon,Switzerland
VernonCarey Jr.,WAS,13,F-C,208.28,122.46984,Duke,USA
JevonCarter,MIL,5,G,185.42000000000002,90.7184,West Virginia,USA
WendellCarter Jr.,ORL,34,C-F,208.28,122.46984,Duke,USA
AlexCaruso,CHI,6,G,195.58,84.368112,Texas A&M,USA
JulianChampagnie,PHI,55,F,200.66,98.429464,St. John's,USA
JustinChampagnie,TOR,11,G-F,198.12,93.439952,Pittsburgh,USA
KennedyChandler,MEM,1,G,180.34,77.11064,Tennessee,USA
MaxChristie,LAL,10,G,195.58,86.18248,Michigan State,USA
JoshChristopher,HOU,9,G,193.04,97.52228,Arizona State,USA
BrandonClarke,MEM,15,F,203.2,97.52228,Gonzaga,Canada
JordanClarkson,UTA,00,G,195.58,87.996848,Missouri,USA
NicClaxton,BKN,33,C,210.82,97.52228,Georgia,USA
AmirCoffey,LAC,7,G-F,200.66,95.25431999999999,Minnesota,USA
JohnCollins,ATL,20,F-C,205.74,102.511792,Wake Forest,USA
ZachCollins,SAS,23,F-C,210.82,113.398,Gonzaga,USA
MikeConley,UTA,11,G,185.42000000000002,79.3786,Ohio State,USA
PatConnaughton,MIL,24,G,195.58,94.80072799999999,Notre Dame,USA
RobertCovington,LAC,23,F,200.66,94.80072799999999,Tennessee State,USA
TorreyCraig,PHX,0,F,200.66,100.243832,South Carolina Upstate,USA
JaeCrowder,PHX,99,F,198.12,106.59412,Marquette,USA
JarrettCulver,ATL,7,G-F,198.12,88.45044,Texas Tech,USA
CadeCunningham,DET,2,G,200.66,99.79024,Oklahoma State,USA
DevinBooker,PHX,1,G,195.58,93.439952,Kentucky,USA
BrandonBoston Jr.,LAC,4,G,198.12,85.275296,Kentucky,USA
ChrisBoucher,TOR,25,F-C,205.74,90.7184,Oregon,Saint Lucia
JamesBouknight,CHA,2,G,193.04,86.18248,Connecticut,USA
TonyBradley,CHI,13,C-F,210.82,112.490816,North Carolina,USA
MalakiBranham,SAS,22,F,193.04,81.64656,Ohio State,USA
ChristianBraun,DEN,0,G,198.12,99.79024,Kansas,USA
MikalBridges,PHX,25,F,198.12,94.80072799999999,Villanova,USA
OshaeBrissett,IND,12,F-G,200.66,95.25431999999999,Syracuse,Canada
MalcolmBrogdon,BOS,13,G,193.04,103.872568,Virginia,USA
DillonBrooks,MEM,24,G-F,198.12,102.0582,Oregon,Canada
BruceBrown,DEN,11,G-F,193.04,91.625584,Miami,USA
JaylenBrown,BOS,7,G-F,198.12,101.151016,California,USA
KendallBrown,IND,10,G,200.66,92.98636,Baylor,USA
MosesBrown,LAC,6,C,218.44,111.13004,UCLA,USA
GregBrown III,POR,4,F,200.66,93.439952,Texas,USA
TroyBrown Jr.,LAL,7,G-F,200.66,97.52228,Oregon,USA
JalenBrunson,NYK,11,G,187.96,86.18248,Villanova,USA
ThomasBryant,LAL,31,C-F,208.28,112.490816,Indiana,USA
ReggieBullock,DAL,25,G-F,198.12,92.98636,North Carolina,USA
AlecBurks,DET,5,G,198.12,97.068688,Colorado,USA
JimmyButler,MIA,22,F,200.66,104.32616,Marquette,USA
JohnButler Jr.,POR,21,F,213.36,86.18248,Florida State,USA
JamalCain,MIA,8,F,198.12,86.636072,Oakland,USA
KentaviousCaldwell-Pope,DEN,5,G,195.58,92.532768,Georgia,USA
FacundoCampazzo,DAL,2,G,177.8,88.45044,Murcia,Argentina
VlatkoCancar,DEN,31,F,203.2,107.047712,San Pablo Burgos,Slovenia
ClintCapela,ATL,15,C,208.28,116.119552,Elan Chalon,Switzerland
VernonCarey Jr.,WAS,13,F-C,208.28,122.46984,Duke,USA
JevonCarter,MIL,5,G,185.42000000000002,90.7184,West Virginia,USA
WendellCarter Jr.,ORL,34,C-F,208.28,122.46984,Duke,USA
AlexCaruso,CHI,6,G,195.58,84.368112,Texas A&M,USA
JulianChampagnie,PHI,55,F,200.66,98.429464,St. John's,USA
JustinChampagnie,TOR,11,G-F,198.12,93.439952,Pittsburgh,USA
KennedyChandler,MEM,1,G,180.34,77.11064,Tennessee,USA
MaxChristie,LAL,10,G,195.58,86.18248,Michigan State,USA
JoshChristopher,HOU,9,G,193.04,97.52228,Arizona State,USA
BrandonClarke,MEM,15,F,203.2,97.52228,Gonzaga,Canada
JordanClarkson,UTA,00,G,195.58,87.996848,Missouri,USA
NicClaxton,BKN,33,C,210.82,97.52228,Georgia,USA
AmirCoffey,LAC,7,G-F,200.66,95.25431999999999,Minnesota,USA
JohnCollins,ATL,20,F-C,205.74,102.511792,Wake Forest,USA
ZachCollins,SAS,23,F-C,210.82,113.398,Gonzaga,USA
MikeConley,UTA,11,G,185.42000000000002,79.3786,Ohio State,USA
PatConnaughton,MIL,24,G,195.58,94.80072799999999,Notre Dame,USA
RobertCovington,LAC,23,F,200.66,94.80072799999999,Tennessee State,USA
TorreyCraig,PHX,0,F,200.66,100.243832,South Carolina Upstate,USA
JaeCrowder,PHX,99,F,198.12,106.59412,Marquette,USA
JarrettCulver,ATL,7,G-F,198.12,88.45044,Texas Tech,USA
CadeCunningham,DET,2,G,200.66,99.79024,Oklahoma State,USA
SethCurry,BKN,30,G,185.42000000000002,83.91452,Duke,USA
StephenCurry,GSW,30,G,187.96,83.91452,Davidson,USA
DysonDaniels,NOP,11,G,200.66,90.264808,NBA G League Ignite,Australia
AnthonyDavis,LAL,3,F-C,208.28,114.758776,Kentucky,USA
JohnnyDavis,WAS,1,G,193.04,88.45044,Wisconsin,USA
TerenceDavis,SAC,3,G,193.04,91.171992,Mississippi,USA
JDDavison,BOS,20,G,185.42000000000002,88.45044,Alabama,USA
DariusDays,HOU,5,F,200.66,111.13004,Louisiana State,USA
DeMarDeRozan,CHI,11,G-F,198.12,99.79024,Southern California,USA
DewayneDedmon,MIA,21,C,208.28,111.13004,Southern California,USA
MatthewDellavedova,SAC,8,G,190.5,90.7184,St. Mary's,Australia
DonteDiVincenzo,GSW,0,G,193.04,92.079176,Villanova,USA
MoussaDiabate,LAC,25,F,208.28,95.25431999999999,Michigan,France
MamadiDiakite,CLE,21,F,205.74,103.418976,Virginia,Guinea
HamidouDiallo,DET,6,G,195.58,91.625584,Kentucky,USA
GorguiDieng,SAS,41,C,208.28,112.490816,Louisville,Senegal
OusmaneDieng,OKC,13,F,205.74,83.91452,New Zealand Breakers,France
SpencerDinwiddie,DAL,26,G,195.58,97.52228,Colorado,USA
LukaDoncic,DAL,77,F-G,200.66,104.32616,Real Madrid,Slovenia
TylerDorsey,DAL,22,G,193.04,81.64656,Oregon,USA
LuguentzDort,OKC,5,G,193.04,99.79024,Arizona State,Canada
AyoDosunmu,CHI,12,G,195.58,90.7184,Illinois,USA
JeffDowtin Jr.,TOR,20,G,190.5,80.28578399999999,Rhode Island,USA
GoranDragic,CHI,7,G,193.04,86.18248,Union Olimpija,Slovenia
AndreDrummond,CHI,3,C,210.82,126.552168,Connecticut,USA
ChrisDuarte,IND,3,G,195.58,86.18248,Oregon,Dominican Republic
DavidDuke Jr.,BKN,6,G,193.04,92.532768,Providence,USA
KevinDurant,BKN,7,F,208.28,108.86207999999999,Texas,USA
JalenDuren,DET,0,C,210.82,113.398,Memphis,USA
TariEason,HOU,17,F,203.2,97.52228,Louisiana State,USA
AnthonyEdwards,MIN,1,G,193.04,102.0582,Georgia,USA
KesslerEdwards,BKN,14,F,200.66,92.079176,Pepperdine,USA
KeonEllis,SAC,23,G,190.5,79.3786,Alabama,USA
JoelEmbiid,PHI,21,C-F,213.36,127.00576,Kansas,Cameroon
DrewEubanks,POR,24,F-C,208.28,111.13004,Oregon State,USA
BrunoFernando,HOU,20,F-C,208.28,108.86207999999999,Maryland,Angola
DorianFinney-Smith,DAL,10,F,200.66,99.79024,Florida,USA
MalachiFlynn,TOR,22,G,185.42000000000002,79.3786,San Diego State,USA
SimoneFontecchio,UTA,16,F,200.66,94.80072799999999,Baskonia,Italy
BrynForbes,MIN,10,G,187.96,92.98636,Michigan State,USA
TrentForrest,ATL,2,G,193.04,95.25431999999999,Florida State,USA
MichaelFoster Jr.,PHI,35,F,203.2,113.398,NBA G League Ignite,USA
EvanFournier,NYK,13,G-F,198.12,92.98636,Poitiers Basket 86,France
De'AaronFox,SAC,5,G,190.5,83.91452,Kentucky,USA
MarkelleFultz,ORL,20,G,193.04,94.80072799999999,Washington,USA
WenyenGabriel,LAL,35,F,205.74,92.98636,Kentucky,South Sudan
DanielGafford,WAS,21,F-C,208.28,106.140528,Arkansas,USA
DaniloGallinari,BOS,8,F,208.28,107.047712,Olimpia Milano,Italy
DariusGarland,CLE,10,G,185.42000000000002,87.089664,Vanderbilt,USA
UsmanGaruba,HOU,16,F,203.2,103.872568,Real Madrid,Spain
SethCurry,BKN,30,G,185.42000000000002,83.91452,Duke,USA
StephenCurry,GSW,30,G,187.96,83.91452,Davidson,USA
DysonDaniels,NOP,11,G,200.66,90.264808,NBA G League Ignite,Australia
AnthonyDavis,LAL,3,F-C,208.28,114.758776,Kentucky,USA
JohnnyDavis,WAS,1,G,193.04,88.45044,Wisconsin,USA
TerenceDavis,SAC,3,G,193.04,91.171992,Mississippi,USA
JDDavison,BOS,20,G,185.42000000000002,88.45044,Alabama,USA
DariusDays,HOU,5,F,200.66,111.13004,Louisiana State,USA
DeMarDeRozan,CHI,11,G-F,198.12,99.79024,Southern California,USA
DewayneDedmon,MIA,21,C,208.28,111.13004,Southern California,USA
MatthewDellavedova,SAC,8,G,190.5,90.7184,St. Mary's,Australia
DonteDiVincenzo,GSW,0,G,193.04,92.079176,Villanova,USA
MoussaDiabate,LAC,25,F,208.28,95.25431999999999,Michigan,France
MamadiDiakite,CLE,21,F,205.74,103.418976,Virginia,Guinea
HamidouDiallo,DET,6,G,195.58,91.625584,Kentucky,USA
GorguiDieng,SAS,41,C,208.28,112.490816,Louisville,Senegal
OusmaneDieng,OKC,13,F,205.74,83.91452,New Zealand Breakers,France
SpencerDinwiddie,DAL,26,G,195.58,97.52228,Colorado,USA
LukaDoncic,DAL,77,F-G,200.66,104.32616,Real Madrid,Slovenia
TylerDorsey,DAL,22,G,193.04,81.64656,Oregon,USA
LuguentzDort,OKC,5,G,193.04,99.79024,Arizona State,Canada
AyoDosunmu,CHI,12,G,195.58,90.7184,Illinois,USA
JeffDowtin Jr.,TOR,20,G,190.5,80.28578399999999,Rhode Island,USA
GoranDragic,CHI,7,G,193.04,86.18248,Union Olimpija,Slovenia
AndreDrummond,CHI,3,C,210.82,126.552168,Connecticut,USA
ChrisDuarte,IND,3,G,195.58,86.18248,Oregon,Dominican Republic
DavidDuke Jr.,BKN,6,G,193.04,92.532768,Providence,USA
KevinDurant,BKN,7,F,208.28,108.86207999999999,Texas,USA
JalenDuren,DET,0,C,210.82,113.398,Memphis,USA
TariEason,HOU,17,F,203.2,97.52228,Louisiana State,USA
AnthonyEdwards,MIN,1,G,193.04,102.0582,Georgia,USA
KesslerEdwards,BKN,14,F,200.66,92.079176,Pepperdine,USA
KeonEllis,SAC,23,G,190.5,79.3786,Alabama,USA
JoelEmbiid,PHI,21,C-F,213.36,127.00576,Kansas,Cameroon
DrewEubanks,POR,24,F-C,208.28,111.13004,Oregon State,USA
BrunoFernando,HOU,20,F-C,208.28,108.86207999999999,Maryland,Angola
DorianFinney-Smith,DAL,10,F,200.66,99.79024,Florida,USA
MalachiFlynn,TOR,22,G,185.42000000000002,79.3786,San Diego State,USA
SimoneFontecchio,UTA,16,F,200.66,94.80072799999999,Baskonia,Italy
BrynForbes,MIN,10,G,187.96,92.98636,Michigan State,USA
TrentForrest,ATL,2,G,193.04,95.25431999999999,Florida State,USA
MichaelFoster Jr.,PHI,35,F,203.2,113.398,NBA G League Ignite,USA
EvanFournier,NYK,13,G-F,198.12,92.98636,Poitiers Basket 86,France
De'AaronFox,SAC,5,G,190.5,83.91452,Kentucky,USA
MarkelleFultz,ORL,20,G,193.04,94.80072799999999,Washington,USA
WenyenGabriel,LAL,35,F,205.74,92.98636,Kentucky,South Sudan
DanielGafford,WAS,21,F-C,208.28,106.140528,Arkansas,USA
DaniloGallinari,BOS,8,F,208.28,107.047712,Olimpia Milano,Italy
DariusGarland,CLE,10,G,185.42000000000002,87.089664,Vanderbilt,USA
UsmanGaruba,HOU,16,F,203.2,103.872568,Real Madrid,Spain
LukaGarza,MIN,55,C,208.28,110.222856,Iowa,USA
RudyGay,UTA,22,F-G,203.2,113.398,Connecticut,USA
PaulGeorge,LAC,13,F,203.2,99.79024,Fresno State,USA
TajGibson,WAS,67,F,205.74,105.233344,Southern California,USA
JoshGiddey,OKC,3,G,203.2,97.975872,NBA Global Academy,Australia
ShaiGilgeous-Alexander,OKC,2,G,198.12,88.45044,Kentucky,Canada
AnthonyGill,WAS,16,F,203.2,104.32616,Virginia,USA
CollinGillespie,DEN,21,G,185.42000000000002,88.45044,Villanova,USA
RudyGobert,MIN,27,C,215.9,117.026736,Cholet,France
JordanGoodwin,WAS,7,G,190.5,90.7184,St. Louis,USA
AaronGordon,DEN,50,F,203.2,106.59412,Arizona,USA
EricGordon,HOU,10,G,190.5,97.52228,Indiana,USA
Devonte'Graham,NOP,4,G,185.42000000000002,88.45044,Kansas,USA
JeramiGrant,POR,9,F,203.2,95.25431999999999,Syracuse,USA
A.J.Green,MIL,20,G,195.58,86.18248,Northern Iowa,USA
DannyGreen,MEM,14,G,198.12,97.52228,North Carolina,USA
DraymondGreen,GSW,23,F,198.12,104.32616,Michigan State,USA
JaMychalGreen,GSW,1,F-C,205.74,102.965384,Alabama,USA
JalenGreen,HOU,4,G,193.04,84.368112,NBA G League Ignite,USA
JavonteGreen,CHI,24,G-F,195.58,92.98636,Radford,USA
JeffGreen,DEN,32,F,203.2,106.59412,Georgetown,USA
JoshGreen,DAL,8,G,200.66,90.7184,Arizona,Australia
AJGriffin,ATL,14,F,198.12,99.79024,Duke,USA
BlakeGriffin,BOS,91,F,205.74,113.398,Oklahoma,USA
QuentinGrimes,NYK,6,G,195.58,95.25431999999999,Houston,USA
RuiHachimura,WAS,8,F,203.2,104.32616,Gonzaga,Japan
TyreseHaliburton,IND,0,G,195.58,83.91452,Iowa State,USA
JordanHall,SAS,55,G,200.66,97.52228,St. Joseph's (PA),USA
R.J.Hampton,ORL,13,G,193.04,79.3786,New Zealand Breakers,USA
TimHardaway Jr.,DAL,11,G-F,195.58,92.98636,Michigan,USA
JamesHarden,PHI,1,G,195.58,99.79024,Arizona State,USA
JadenHardy,DAL,3,G,190.5,89.811216,NBA G League Ignite,USA
RonHarper Jr.,TOR,8,F,195.58,111.13004,Rutgers,USA
MontrezlHarrell,PHI,5,F-C,200.66,108.86207999999999,Louisville,USA
GaryHarris,ORL,14,G,193.04,95.25431999999999,Michigan State,USA
JoeHarris,BKN,12,G-F,198.12,99.79024,Virginia,USA
KevonHarris,ORL,7,G,198.12,97.975872,Stephen F. Austin,USA
TobiasHarris,PHI,12,F,200.66,102.511792,Tennessee,USA
JoshHart,POR,11,G,193.04,97.52228,Villanova,USA
IsaiahHartenstein,NYK,55,C-F,213.36,113.398,Zalgiris,Germany
UdonisHaslem,MIA,40,F,200.66,106.59412,Florida,USA
SamHauser,BOS,30,F,200.66,98.429464,Virginia,USA
JaxsonHayes,NOP,10,C-F,213.36,99.79024,Texas,USA
KillianHayes,DET,7,G,195.58,88.45044,Ratiopharm Ulm,France
GordonHayward,CHA,20,F,200.66,102.0582,Butler,USA
JuanchoHernangomez,TOR,41,F,205.74,97.068688,Estudiantes,Spain
WillyHernangomez,NOP,9,C-F,210.82,113.398,Cajasol Sevilla,Spain
TylerHerro,MIA,14,G,195.58,88.45044,Kentucky,USA
BuddyHield,IND,24,G,193.04,99.79024,Oklahoma,Bahamas
HaywoodHighsmith,MIA,24,F,195.58,99.79024,Wheeling Jesuit,USA
LukaGarza,MIN,55,C,208.28,110.222856,Iowa,USA
RudyGay,UTA,22,F-G,203.2,113.398,Connecticut,USA
PaulGeorge,LAC,13,F,203.2,99.79024,Fresno State,USA
TajGibson,WAS,67,F,205.74,105.233344,Southern California,USA
JoshGiddey,OKC,3,G,203.2,97.975872,NBA Global Academy,Australia
ShaiGilgeous-Alexander,OKC,2,G,198.12,88.45044,Kentucky,Canada
AnthonyGill,WAS,16,F,203.2,104.32616,Virginia,USA
CollinGillespie,DEN,21,G,185.42000000000002,88.45044,Villanova,USA
RudyGobert,MIN,27,C,215.9,117.026736,Cholet,France
JordanGoodwin,WAS,7,G,190.5,90.7184,St. Louis,USA
AaronGordon,DEN,50,F,203.2,106.59412,Arizona,USA
EricGordon,HOU,10,G,190.5,97.52228,Indiana,USA
Devonte'Graham,NOP,4,G,185.42000000000002,88.45044,Kansas,USA
JeramiGrant,POR,9,F,203.2,95.25431999999999,Syracuse,USA
